fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
48121,Denton,413211,380240,186,186,Released as a precinct as first report of the night,99,417964,99%,99% reported,edison,10,all,,280830,,,231025,170984,8553,2627,22,211760,159151,7118,2196,15,2020-11-24T13:26:47Z,14.53035,R+15,Cornyn +15,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48125,Dickens,958,657,7,7,Released as a precinct as first report of the night,97,988,97%,97% reported,edison,10,unknown,,846,,,808,133,13,4,,559,92,4,2,,2021-02-17T16:47:44Z,70.45929,R+70,Cornyn +70,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48127,Dimmit,3468,2376,8,8,Released as a precinct as first report of the night,95,3666,95%,95% reported,edison,10,unknown,,2084,,,1274,2122,39,30,3,825,1511,25,14,1,2021-02-17T17:06:50Z,24.45213,D+24,Hegar +24,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48129,Donley,1625,1144,7,7,Released as a precinct as first report of the night,99,1648,99%,99% reported,edison,10,unknown,,1330,,,1418,181,22,4,,1006,124,13,1,,2021-02-17T17:07:05Z,76.12308,R+76,Cornyn +76,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48131,Duval,4419,3462,10,10,Released as a precinct as first report of the night,87,5053,87%,87% reported,edison,10,unknown,,4122,,,1787,2458,97,77,0,1312,2024,60,66,0,2021-02-17T16:48:03Z,15.18443,D+15,Hegar +15,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48133,Eastland,8089,6367,10,10,Released as a precinct as first report of the night,98,8292,98%,98% reported,edison,10,unknown,,5907,,,7015,910,131,31,2,5523,731,95,18,0,2021-02-17T16:48:14Z,75.47286,R+75,Cornyn +75,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48135,Ector,43572,34675,41,41,Released as a precinct as first report of the night,98,44581,98%,98% reported,edison,10,unknown,,35298,,,31711,10682,902,277,,25345,8568,591,171,,2021-02-22T19:48:07Z,48.26265,R+48,Cornyn +48,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48137,Edwards,986,733,5,5,Released as a precinct as first report of the night,92,1066,92%,92% reported,edison,10,unknown,,827,,,824,144,14,3,1,610,112,9,2,0,2021-02-17T16:48:24Z,68.96552,R+69,Cornyn +69,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48141,El Paso,259250,205772,209,209,Released as a precinct as first report of the night,97,267215,97%,97% reported,edison,10,unknown,,157724,,,80021,164931,8248,6036,14,62562,133211,5847,4152,0,2021-02-17T16:48:35Z,32.75217,D+33,Hegar +33,democrat,hegarm,texas,2021-05-06T16:48:45.371090Z
48139,Ellis,85039,74700,50,50,Released as a precinct as first report of the night,99,85493,99%,99% reported,edison,10,all,,56843,,,57078,25780,1589,585,7,50069,22917,1261,453,0,2020-12-14T16:49:45Z,36.80429,R+37,Cornyn +37,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48143,Erath,16708,13507,22,22,Released as a precinct as first report of the night,99,16853,99%,99% reported,edison,10,unknown,,13085,,,13564,2707,335,102,,10975,2225,237,70,,2021-02-17T16:48:47Z,64.98085,R+65,Cornyn +65,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48145,Falls,6039,3651,13,13,Released as a precinct as first report of the night,98,6133,98%,98% reported,edison,10,unknown,,3515,,,4157,1787,76,19,0,2361,1241,43,6,0,2021-02-17T16:48:52Z,39.24491,R+39,Cornyn +39,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48147,Fannin,14749,10870,17,17,Released as a precinct as first report of the night,98,15004,98%,98% reported,edison,10,unknown,,8408,,,11836,2559,273,80,1,8635,2026,160,49,0,2021-02-17T16:48:58Z,62.89918,R+63,Cornyn +63,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48149,Fayette,12864,9244,27,27,Released as a precinct as first report of the night,99,12941,99%,99% reported,edison,10,unknown,,7646,,,10056,2634,129,45,0,7148,1990,77,29,0,2021-02-17T16:49:08Z,57.6959,R+58,Cornyn +58,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48151,Fisher,1804,1289,5,5,Released as a precinct as first report of the night,99,1826,99%,99% reported,edison,10,unknown,,1044,,,1418,351,28,7,0,1015,256,16,2,0,2021-02-17T16:49:16Z,59.14634,R+59,Cornyn +59,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48153,Floyd,1990,1631,7,7,Released as a precinct as first report of the night,98,2039,98%,98% reported,edison,10,unknown,,2191,,,1554,397,29,10,0,1302,308,16,5,0,2021-02-17T16:49:26Z,58.1407,R+58,Cornyn +58,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
48155,Foard,519,389,5,5,Released as a precinct as first report of the night,94,551,94%,94% reported,edison,10,unknown,,398,,,404,107,7,1,0,304,79,5,1,0,2021-02-17T16:49:37Z,57.22543,R+57,Cornyn +57,republican,cornynj,texas,2021-05-06T16:48:45.371090Z
