fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_petersg,results_jamesj,results_willisv,results_squierm,results_dernd,results_absentee_petersg,results_absentee_jamesj,results_absentee_willisv,results_absentee_squierm,results_absentee_dernd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
26127,Oceana,13920,0,18,18,Merged into voters' home precincts and released with cumulative results,99,14062,99%,99% reported,edison,10,all,,1675,,,4796,8808,160,96,60,0,0,0,0,0,2020-11-30T03:21:23Z,28.82184,R+29,James +29,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26129,Ogemaw,11748,0,17,17,Other,99,11907,99%,99% reported,edison,10,all,,1680,,,3788,7758,102,56,44,0,0,0,0,0,2020-11-30T03:22:01Z,33.79299,R+34,James +34,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26131,Ontonagon,3754,0,12,12,Merged into voters' home precincts and released with cumulative results,99,3804,99%,99% reported,edison,10,all,,546,,,1464,2225,31,26,8,0,0,0,0,0,2020-11-30T03:22:16Z,20.27171,R+20,James +20,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26133,Osceola,12223,0,18,18,Merged into voters' home precincts and released with cumulative results,99,12329,99%,99% reported,edison,10,all,,1124,,,3226,8808,102,52,35,0,0,0,0,0,2020-11-30T03:22:26Z,45.668,R+46,James +46,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26135,Oscoda,4832,0,7,7,Merged into voters' home precincts and released with cumulative results,99,4874,99%,99% reported,edison,10,all,,718,,,1384,3376,40,24,8,0,0,0,0,0,2020-11-30T03:22:42Z,41.22517,R+41,James +41,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26137,Otsego,14630,0,13,13,Merged into voters' home precincts and released with cumulative results,99,14757,99%,99% reported,edison,10,all,,2248,,,4703,9727,90,73,37,0,0,0,0,0,2020-11-30T03:22:55Z,34.3404,R+34,James +34,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26139,Ottawa,167700,0,109,109,Merged into voters' home precincts and released with cumulative results,99,168713,99%,99% reported,edison,10,unknown,,30199,,,59187,106108,1042,1090,273,0,0,0,0,0,2020-11-30T03:23:17Z,27.97913,R+28,James +28,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26141,Presque Isle,8294,0,17,17,Merged into voters' home precincts and released with cumulative results,99,8344,99%,99% reported,edison,10,all,,1106,,,3056,5167,37,21,13,0,0,0,0,0,2020-11-30T03:23:28Z,25.45213,R+25,James +25,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26143,Roscommon,14889,0,14,14,Merged into voters' home precincts and released with cumulative results,99,15018,99%,99% reported,edison,10,unknown,,3583,,,5309,9385,89,66,40,0,0,0,0,0,2020-11-30T03:23:41Z,27.37592,R+27,James +27,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26145,Saginaw,102324,0,85,85,None,99,103349,99%,99% reported,edison,10,unknown,,15042,,,51520,49209,860,525,210,0,0,0,0,0,2020-11-30T03:23:54Z,2.25851,D+2,Peters +2,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26151,Sanilac,22213,0,31,31,Merged into voters' home precincts and released with cumulative results,99,22446,99%,99% reported,edison,10,unknown,,2627,,,6244,15544,217,135,73,0,0,0,0,0,2020-11-30T03:24:46Z,41.86737,R+42,James +42,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26153,Schoolcraft,4672,0,11,11,Merged into voters' home precincts and released with cumulative results,98,4745,98%,98% reported,edison,10,unknown,,391,,,1712,2905,27,17,11,0,0,0,0,0,2020-11-30T03:24:59Z,25.5351,R+26,James +26,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26155,Shiawassee,38725,0,30,30,None,99,39224,99%,99% reported,edison,10,unknown,,5147,,,15830,22110,424,245,116,0,0,0,0,0,2021-03-07T03:34:04Z,16.21691,R+16,James +16,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26147,St. Clair,90534,0,102,102,Merged into voters' home precincts and released with cumulative results,98,92064,98%,98% reported,edison,10,unknown,,17354,,,31846,56476,1190,692,330,0,0,0,0,0,2020-11-30T03:24:16Z,27.20525,R+27,James +27,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26149,St. Joseph,27581,0,28,28,Merged into voters' home precincts and released with cumulative results,99,27936,99%,99% reported,edison,10,unknown,,3255,,,8824,18018,390,240,109,0,0,0,0,0,2020-11-30T03:24:30Z,33.33454,R+33,James +33,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26157,Tuscola,29137,0,33,33,Merged into voters' home precincts and released with cumulative results,99,29445,99%,99% reported,edison,10,unknown,,3531,,,9422,19174,296,176,69,0,0,0,0,0,2020-11-30T03:25:29Z,33.46947,R+33,James +33,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26159,Van Buren,38699,0,37,37,Merged into voters' home precincts and released with cumulative results,99,39066,99%,99% reported,edison,10,unknown,,5135,,,15944,21816,477,336,126,0,0,0,0,0,2020-11-30T03:25:44Z,15.17352,R+15,James +15,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
26161,Washtenaw,214788,98800,150,150,Other,99,216418,99%,99% reported,edison,10,all,,40520,,,150529,60745,1227,1962,325,71672,25454,641,883,150,2020-11-30T03:25:59Z,41.80122,D+42,Peters +42,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26163,Wayne,862819,557464,1017,1017,Released separately AFTER election night,99,872469,99%,99% reported,edison,10,unknown,,172169,,,582367,260146,10804,6879,2623,414717,130847,6452,4050,1398,2021-03-07T03:49:38Z,37.34514,D+37,Peters +37,democrat,petersg,michigan,2021-05-01T03:39:52.132674Z
26165,Wexford,18112,0,20,20,Merged into voters' home precincts and released with cumulative results,99,18265,99%,99% reported,edison,10,unknown,,1764,,,5684,12122,149,116,41,0,0,0,0,0,2020-11-30T03:26:34Z,35.54549,R+36,James +36,republican,jamesj,michigan,2021-05-01T03:39:52.132674Z
