fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
01057,Fayette,8751,481,28,28,Released as a precinct as first report of the night,100,8766,100%,100% reported,edison,10,all,,362,,,7088,1651,12,281,200,0,2021-03-07T03:13:35Z,62.13004,R+62,Tuberville +62,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01059,Franklin,12481,0,25,25,Released as a precinct as first report of the night,99,12578,99%,99% reported,edison,10,unknown,,653,,,9856,2605,20,0,0,0,2021-03-07T03:13:41Z,58.09631,R+58,Tuberville +58,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01061,Geneva,12522,0,28,28,Released separately AFTER election night,100,12545,100%,100% reported,edison,10,all,,507,,,10382,2122,18,0,0,0,2021-03-07T03:13:46Z,65.9639,R+66,Tuberville +66,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01063,Greene,4779,1565,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4775,100%,100% reported,edison,10,all,,590,,,816,3962,1,92,1473,0,2020-12-10T01:24:12Z,65.82967,D+66,Jones +66,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01065,Hale,7880,1474,15,15,None,100,7904,100%,100% reported,edison,10,all,,982,,,3090,4786,4,171,1302,1,2021-03-07T03:13:53Z,21.52284,D+22,Jones +22,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01067,Henry,9280,0,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9298,100%,100% reported,edison,10,all,,994,,,6399,2872,9,0,0,0,2020-12-10T01:24:43Z,38.00647,R+38,Tuberville +38,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01069,Houston,46033,0,28,28,Released as a precinct as first report of the night,100,46173,100%,100% reported,edison,10,unknown,,3363,,,31462,14494,77,0,0,0,2021-03-07T03:13:58Z,36.86051,R+37,Tuberville +37,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01071,Jackson,23504,0,31,31,Released as a precinct as first report of the night,99,23636,99%,99% reported,edison,10,all,,1483,,,18888,4587,29,0,0,0,2020-12-10T01:25:17Z,60.84496,R+61,Tuberville +61,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01073,Jefferson,325510,0,173,173,Released as a precinct as first report of the night,100,325848,100%,100% reported,edison,10,unknown,,15352,,,134314,190644,552,0,0,0,2021-03-07T03:14:05Z,17.30515,D+17,Jones +17,democrat,jonesd,alabama,2021-05-06T09:31:00.346831Z
01075,Lamar,7162,475,26,26,Released as a precinct as first report of the night,100,7193,100%,100% reported,edison,10,unknown,,790,,,6088,1071,3,343,129,3,2021-03-07T03:14:12Z,70.05027,R+70,Tuberville +70,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01077,Lauderdale,44033,0,32,32,Released as a precinct as first report of the night,99,44339,99%,99% reported,edison,10,all,,2931,,,30071,13874,88,0,0,0,2020-12-10T01:26:07Z,36.78378,R+37,Tuberville +37,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01079,Lawrence,15954,862,30,30,Released as a precinct in the middle of the night,100,16031,100%,100% reported,edison,10,all,,725,,,11710,4211,33,413,446,3,2021-03-07T03:14:20Z,47.00389,R+47,Tuberville +47,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01081,Lee,71254,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,71449,100%,100% reported,edison,10,all,,4032,,,41154,29986,114,0,0,0,2020-12-10T01:26:43Z,15.67351,R+16,Tuberville +16,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
01083,Limestone,49038,0,26,26,Released as a precinct as first report of the night,100,49235,100%,100% reported,edison,10,all,,2880,,,33364,15584,90,0,0,0,2020-12-10T01:27:00Z,36.2576,R+36,Tuberville +36,republican,tubervillet,alabama,2021-05-06T09:31:00.346831Z
