fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
47063,Hamblen,23524,0,16,16,Released as a separate subtotal as first report of the night,96,24631,96%,96% reported,edison,10,all,,13898,,,18183,4813,115,75,68,51,70,31,30,31,57,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:32Z,56.83557,R+57,Hagerty +57,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47065,Hamilton,168962,0,135,135,Released as a separate subtotal as first report of the night,99,171113,99%,99% reported,edison,10,all,,94364,,,95105,70608,811,799,339,313,127,191,211,264,194,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T16:30:20Z,14.49853,R+14,Hagerty +14,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47067,Hancock,2499,0,7,7,Released as a precinct as first report of the night,91,2744,91%,91% reported,edison,10,unknown,,1141,,,2159,301,9,4,5,4,8,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T03:30:20Z,74.34974,R+74,Hagerty +74,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47069,Hardeman,9163,0,13,13,None,91,10063,91%,91% reported,edison,10,unknown,,5839,,,5377,3452,41,21,41,73,27,34,34,20,43,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:55Z,21.0084,R+21,Hagerty +21,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47071,Hardin,11116,0,14,14,"Released as first report, then NOT included in cumulative results",96,11538,96%,96% reported,edison,10,all,,6210,,,9221,1599,54,24,40,28,28,7,16,63,36,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:00Z,68.56783,R+69,Hagerty +69,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47073,Hawkins,23305,0,20,20,Released as a separate subtotal as first report of the night,94,24824,94%,94% reported,edison,10,unknown,,14007,,,19123,3649,110,45,89,91,52,35,39,37,35,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:02:40Z,66.39777,R+66,Hagerty +66,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47075,Haywood,7146,0,11,11,Released as a separate subtotal as first report of the night,96,7439,96%,96% reported,edison,10,all,,4957,,,3297,3697,24,10,9,28,11,8,14,17,31,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:59Z,5.59754,D+6,Bradshaw +6,democrat,bradshawm,tennessee,2021-05-08T13:35:07.935642Z
47077,Henderson,11586,0,14,14,Released as a separate subtotal as first report of the night,96,12020,96%,96% reported,edison,10,unknown,,7043,,,9585,1793,49,17,26,28,13,18,14,13,30,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T13:52:22Z,67.25358,R+67,Hagerty +67,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47079,Henry,14052,0,13,13,Other,93,15047,93%,93% reported,edison,10,all,,8915,,,10595,2973,88,41,46,61,44,50,37,31,86,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:04Z,54.24139,R+54,Hagerty +54,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47081,Hickman,9472,0,14,14,Released as a separate subtotal as first report of the night,96,9832,96%,96% reported,edison,10,unknown,,5573,,,7284,1924,43,30,30,51,13,12,16,19,50,0,0,0,0,0,0,0,0,0,0,0,2020-12-03T13:55:00Z,56.58784,R+57,Hagerty +57,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47083,Houston,3550,0,7,7,Merged into voters' home precincts and released with cumulative results,96,3686,96%,96% reported,edison,10,all,,2292,,,2586,810,28,6,21,11,14,3,7,31,33,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:20:09Z,50.02817,R+50,Hagerty +50,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47085,Humphreys,7838,0,8,8,Released as a separate subtotal as first report of the night,95,8236,95%,95% reported,edison,10,all,,5279,,,5752,1785,19,12,9,31,1,13,22,2,192,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:39:49Z,50.6124,R+51,Hagerty +51,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47087,Jackson,4953,0,12,12,Released as a precinct as first report of the night,93,5323,93%,93% reported,edison,10,all,,2474,,,3837,988,22,19,12,17,12,7,8,11,20,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:17Z,57.52069,R+58,Hagerty +58,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47089,Jefferson,22586,0,11,11,Released as a separate subtotal as first report of the night,96,23616,96%,96% reported,edison,10,all,,13703,,,18024,4035,125,53,58,63,77,28,31,36,56,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:47:00Z,61.9366,R+62,Hagerty +62,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47091,Johnson,7351,0,10,10,Released as a separate subtotal as first report of the night,94,7801,94%,94% reported,edison,10,all,,5107,,,6058,1115,34,21,22,33,20,8,23,5,12,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:47:42Z,67.24255,R+67,Hagerty +67,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47093,Knox,217077,170854,89,89,Released as a separate subtotal as first report of the night,98,220556,98%,98% reported,edison,10,all,,164850,,,128662,84847,1014,862,399,228,212,155,296,224,178,97459,71055,677,610,234,150,135,90,182,149,113,2020-12-16T17:48:41Z,20.18408,R+20,Hagerty +20,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
47095,Lake,1930,0,3,3,"Released as first report, then NOT included in cumulative results",95,2034,95%,95% reported,edison,10,unknown,,1301,,,1361,493,8,4,10,15,5,9,4,2,19,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:09Z,44.97409,R+45,Hagerty +45,republican,hagertyb,tennessee,2021-05-08T13:35:07.935642Z
