fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
13299,Ware,13979,10920,12,12,Other,99,14189,99%,99% reported,edison,10,unknown,,9136,,,9773,3937,269,0,7295,3437,188,0,2020-12-04T23:42:05Z,41.74834,R+42,Perdue +42,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13301,Warren,2614,2150,1,1,Other,99,2650,99%,99% reported,edison,10,unknown,,1914,,,1161,1407,46,0,982,1133,35,0,2020-12-04T23:42:18Z,9.41086,D+9,Ossoff +9,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13303,Washington,9279,6731,8,8,None,98,9480,98%,98% reported,edison,10,unknown,,6994,,,4630,4477,172,,3171,3451,109,,2021-01-13T14:32:37Z,1.64888,R+1.6,Perdue +1.6,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13305,Wayne,12633,9664,12,12,None,99,12782,99%,99% reported,edison,10,unknown,,8427,,,9734,2655,244,0,7302,2187,175,0,2021-03-07T03:09:42Z,56.03578,R+56,Perdue +56,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13307,Webster,1372,1093,1,1,Released as a precinct as first report of the night,99,1391,99%,99% reported,edison,10,unknown,,994,,,736,626,10,,600,485,8,,2020-12-04T23:43:21Z,8.01749,R+8,Perdue +8,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13309,Wheeler,2258,1620,2,2,None,99,2285,99%,99% reported,edison,10,unknown,,293,,,1562,657,35,4,1118,476,26,0,2020-12-04T23:48:08Z,40.07972,R+40,Perdue +40,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13311,White,14716,10815,11,11,Released as a precinct at the end of tabulation,99,14831,99%,99% reported,edison,10,all,,8221,,,12072,2273,371,,8680,1894,241,,2021-01-13T14:32:56Z,66.58739,R+67,Perdue +67,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13313,Whitfield,36297,24356,23,23,None,99,36766,99%,99% reported,edison,10,unknown,,18126,,,25158,10177,962,,16401,7392,563,,2020-12-04T23:44:10Z,41.27338,R+41,Perdue +41,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13315,Wilcox,3230,2205,6,6,None,99,3279,99%,99% reported,edison,10,unknown,,2054,,,2369,805,56,0,1641,527,37,0,2020-12-04T23:44:32Z,48.42105,R+48,Perdue +48,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13317,Wilkes,4951,3726,7,7,None,98,5031,98%,98% reported,edison,10,unknown,,3725,,,2810,2057,78,6,2102,1572,52,0,2021-03-07T03:09:52Z,15.20905,R+15,Perdue +15,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13319,Wilkinson,4704,2874,9,9,Released as a separate subtotal as first report of the night,99,4770,99%,99% reported,edison,10,unknown,,2746,,,2608,2017,79,0,1338,1489,47,0,2020-12-04T23:45:06Z,12.56378,R+13,Perdue +13,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13321,Worth,9210,5845,15,15,None,99,9285,99%,99% reported,edison,10,unknown,,5098,,,6726,2327,157,0,3997,1747,101,0,2020-12-04T23:47:49Z,47.7633,R+48,Perdue +48,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
