fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17075,Iroquois,13856,0,37,37,Other,99,14025,99%,99% reported,edison,10,unknown,,3459,,,3075,10249,153,275,104,0,0,0,0,0,0,0,2021-01-26T19:16:11Z,51.7754,R+52,Curran +52,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17077,Jackson,22434,0,56,56,Merged into voters' home precincts and released with cumulative results,99,22643,99%,99% reported,edison,10,unknown,,6498,,,11338,10291,295,143,367,0,0,0,0,0,0,0,2021-01-26T19:16:16Z,4.66702,D+5,Durbin +5,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17079,Jasper,5448,0,16,16,Merged into voters' home precincts and released with cumulative results,98,5576,98%,98% reported,edison,10,some,,2270,,,1180,4157,56,26,29,0,0,0,0,0,0,0,2021-01-26T19:16:21Z,54.64391,R+55,Curran +55,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17081,Jefferson,16983,0,33,33,Merged into voters' home precincts and released with cumulative results,98,17404,98%,98% reported,edison,10,all,,4357,,,5099,11399,231,111,143,0,0,0,0,0,0,0,2021-01-26T19:16:26Z,37.09592,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17083,Jersey,11644,0,25,25,Merged into voters' home precincts and released with cumulative results,98,11937,98%,98% reported,edison,10,unknown,,2467,,,3478,7850,170,85,61,0,0,0,0,0,0,0,2021-01-26T19:16:32Z,37.54723,R+38,Curran +38,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17085,JoDaviess,12271,5932,29,29,None,98,12496,98%,98% reported,edison,10,unknown,,3006,,,5061,6856,150,96,108,0,3317,2474,55,34,52,0,2021-01-26T19:16:39Z,14.62798,R+15,Curran +15,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17087,Johnson,6333,0,16,16,Released as a precinct at the end of tabulation,98,6437,98%,98% reported,edison,10,some,,3610,,,1559,4626,49,49,50,0,0,0,0,0,0,0,2021-01-26T19:16:44Z,48.42886,R+48,Curran +48,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17089,Kane,230012,182185,291,291,None,99,231876,99%,99% reported,edison,10,unknown,,93112,,,122627,96270,3004,6168,1943,0,102528,72174,1936,4222,1325,0,2021-01-26T19:41:57Z,11.45897,D+11,Durbin +11,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17091,Kankakee,49440,0,64,64,None,99,49902,99%,99% reported,edison,10,unknown,,21168,,,19754,26505,967,1851,363,0,0,0,0,0,0,0,2021-01-26T19:16:53Z,13.65494,R+14,Curran +14,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17093,Kendall,63346,36985,87,87,None,99,63974,99%,99% reported,edison,10,unknown,,13923,,,31055,28790,898,2016,587,0,20920,14450,388,916,311,0,2021-01-07T18:22:14Z,3.5756,D+4,Durbin +4,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
