fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
08091,Ouray,3989,0,5,5,Other,99,4020,99%,99% reported,edison,10,some,,,,,2291,1622,68,3,4,1,0,0,0,0,0,0,2021-01-12T19:35:46Z,16.77112,D+17,Hickenlooper +17,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08093,Park,12246,0,13,13,Other,100,12291,100%,100% reported,edison,10,unknown,,,,,4800,7100,281,31,34,,0,0,0,0,0,,2021-01-12T19:19:15Z,18.78164,R+19,Gardner +19,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08095,Phillips,2471,0,8,8,Other,99,2485,99%,99% reported,edison,10,unknown,,,,,463,1980,22,6,0,,0,0,0,0,0,,2020-12-06T15:47:11Z,61.39215,R+61,Gardner +61,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08097,Pitkin,11860,0,10,10,Other,99,11957,99%,99% reported,edison,10,unknown,,,,,8761,2935,130,13,20,1,0,0,0,0,0,0,2021-01-12T19:37:26Z,49.1231,D+49,Hickenlooper +49,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08099,Prowers,5500,0,13,13,Other,99,5561,99%,99% reported,edison,10,unknown,,,,,1435,3966,55,26,18,,0,0,0,0,0,,2020-12-06T15:47:16Z,46.01818,R+46,Gardner +46,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08101,Pueblo,87452,0,128,128,Other,99,88301,99%,99% reported,edison,10,unknown,,,,,42791,42098,1720,533,308,2,0,0,0,0,0,0,2021-01-12T19:30:28Z,0.79243,D+0.79,Hickenlooper +0.79,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08103,Rio Blanco,3655,0,5,5,Other,99,3691,99%,99% reported,edison,10,all,,,,,529,3065,46,13,2,,0,0,0,0,0,,2020-12-06T15:47:27Z,69.3844,R+69,Gardner +69,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08105,Rio Grande,6279,0,15,15,Other,100,6305,100%,100% reported,edison,10,all,,,,,2502,3635,84,40,18,,0,0,0,0,0,,2020-12-06T15:47:33Z,18.04427,R+18,Gardner +18,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08107,Routt,16826,0,18,18,Other,100,16876,100%,100% reported,edison,10,all,,,,,10284,6256,223,39,24,,0,0,0,0,0,,2020-11-24T13:21:55Z,23.93914,D+24,Hickenlooper +24,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08109,Saguache,3379,0,7,7,Other,100,3389,100%,100% reported,edison,10,all,,,,,1887,1405,55,11,21,,0,0,0,0,0,,2020-11-24T13:21:55Z,14.26458,D+14,Hickenlooper +14,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08111,San Juan,550,0,1,1,Other,98,562,98%,98% reported,edison,10,unknown,,,,,328,207,10,2,3,,0,0,0,0,0,,2021-01-12T19:07:19Z,22,D+22,Hickenlooper +22,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08113,San Miguel,5121,0,6,6,Other,99,5147,99%,99% reported,edison,10,some,,,,,3808,1227,76,2,8,,0,0,0,0,0,,2020-11-24T13:21:59Z,50.40031,D+50,Hickenlooper +50,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08115,Sedgwick,1447,0,5,5,Other,100,1447,100%,100% reported,edison,10,unknown,,,,,320,1103,14,9,1,0,0,0,0,0,0,0,2020-12-06T15:47:40Z,54.11196,R+54,Gardner +54,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08117,Summit,18407,0,20,20,Other,100,18479,100%,100% reported,edison,10,unknown,,,,,12175,5817,353,25,37,0,0,0,0,0,0,0,2020-12-06T15:47:45Z,34.54121,D+35,Hickenlooper +35,democrat,hickenlooperj,colorado,2021-05-06T04:33:51.450378Z
08119,Teller,16765,0,13,13,Other,99,16939,99%,99% reported,edison,10,unknown,,,,,5039,11307,339,54,22,4,0,0,0,0,0,0,2021-01-12T19:30:40Z,37.38741,R+37,Gardner +37,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08121,Washington,2996,0,6,6,Other,100,3008,100%,100% reported,edison,10,unknown,,,,,346,2617,22,4,7,0,0,0,0,0,0,0,2020-12-06T15:50:16Z,75.80107,R+76,Gardner +76,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08123,Weld,166684,0,156,156,Other,100,166974,100%,100% reported,edison,10,all,,,,,63647,99424,2761,470,376,6,0,0,0,0,0,0,2021-01-12T19:36:05Z,21.46397,R+21,Gardner +21,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
08125,Yuma,4977,0,14,14,Other,100,4981,100%,100% reported,edison,10,unknown,,,,,652,4273,29,19,4,0,0,0,0,0,0,0,2020-12-06T15:47:54Z,72.75467,R+73,Gardner +73,republican,gardnerc,colorado,2021-05-06T04:33:51.450378Z
