fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gravess,results_rossg,results_higginsj,results_absentee_gravess,results_absentee_rossg,results_absentee_higginsj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29049,Clinton,10729,0,7,7,Released as a precinct as first report of the night,96,11229,96%,96% reported,edison,4,some,1293,7922,2550,257,0,0,0,2020-12-09T13:47:20Z,50.0699,R+50,Graves +50,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29061,Daviess,3845,0,6,6,Released as a precinct as first report of the night,100,3813,100%,100% reported,edison,6,all,525,3125,638,82,0,0,0,2020-12-09T14:16:26Z,64.6814,R+65,Graves +65,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29063,DeKalb,4775,0,9,9,Released as a precinct as first report of the night,95,5049,95%,95% reported,edison,2,unknown,475,3840,820,115,0,0,0,2020-12-08T21:30:55Z,63.24607,R+63,Graves +63,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29075,Gentry,3196,0,11,11,Released as a precinct as first report of the night,100,3196,100%,100% reported,edison,6,all,422,2598,535,63,0,0,0,2020-12-09T13:48:42Z,64.54944,R+65,Graves +65,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29079,Grundy,4397,0,8,9,None,100,3571,100%,100% reported,edison,2,unknown,150,3662,661,74,0,0,0,2020-11-24T13:22:01Z,68.25108,R+68,Graves +68,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29081,Harrison,3788,0,7,7,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2979,100%,100% reported,edison,4,all,706,3250,496,42,0,0,0,2020-12-09T14:24:13Z,72.70327,R+73,Graves +73,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29087,Holt,2318,0,4,5,Released as a precinct as first report of the night,100,1901,100%,100% reported,edison,2,unknown,312,2002,264,52,0,0,0,2020-12-09T14:34:49Z,74.97843,R+75,Graves +75,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29095,Jackson,48425,0,21,21,Released as a separate subtotal as first report of the night,100,47434,100%,100% reported,edison,2,unknown,50123,28786,18543,1096,0,0,0,2020-12-09T14:35:13Z,21.1523,R+21,Graves +21,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29103,Knox,1794,0,6,7,Released as a precinct as first report of the night,100,1794,100%,100% reported,edison,6,all,443,1513,252,29,0,0,0,2020-12-09T14:35:40Z,70.28986,R+70,Graves +70,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
29111,Lewis,4481,0,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,4439,100%,100% reported,edison,4,all,421,3625,783,73,0,0,0,2020-12-08T21:30:54Z,63.42334,R+63,Graves +63,republican,gravess,MO-G-H-6-2020-11-03,mo-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",389111,1606,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,426,450,95% reporting,95%,100,385779,edison,100%,100% reported,edison,republican,FALSE,2020-12-09T14:28:57Z,TRUE,35.2979,137348,R+35,Graves +35,republican,FALSE,"","",0,0,1604461440767
