fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_malliotakisn,results_rosem,results_write_ins,results_absentee_malliotakisn,results_absentee_rosem,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
36047,Brooklyn,80111,0,148,148,Merged into voters' home precincts AFTER election night,100,80111,100%,100% reported,edison,10,all,38086,41930,95,0,0,0,2020-12-15T14:16:09Z,4.79834,D+5,Rose +5,democrat,rosem,NY-G-H-11-2020-11-03,ny-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"Nicole Malliotakis, a Republican endorsed by President Trump, aims to unseat Representative Max Rose, the incumbent who became, in 2018, the first Democrat to win over this Staten Island district since 2010. ",tossup,TRUE,11,District 11,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,293314,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,437,437,100% reporting,100%,100,293314,edison,100%,100% reported,edison,democrat,FALSE,2020-12-04T16:48:56Z,TRUE,6.27655,18410,R+6,Malliotakis +6,republican,TRUE,"","",7,0,1606859536568,FALSE
36085,Staten Island,213203,0,289,289,Merged into voters' home precincts AFTER election night,100,213203,100%,100% reported,edison,10,all,117522,95268,413,0,0,0,2020-12-15T14:23:29Z,10.43794,R+10,Malliotakis +10,republican,malliotakisn,NY-G-H-11-2020-11-03,ny-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"Nicole Malliotakis, a Republican endorsed by President Trump, aims to unseat Representative Max Rose, the incumbent who became, in 2018, the first Democrat to win over this Staten Island district since 2010. ",tossup,TRUE,11,District 11,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,293314,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,437,437,100% reporting,100%,100,293314,edison,100%,100% reported,edison,democrat,FALSE,2020-12-04T16:48:56Z,TRUE,6.27655,18410,R+6,Malliotakis +6,republican,TRUE,"","",7,0,1606859536568,FALSE
