fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smithj,results_ellisk,results_schmitzt,results_absentee_smithj,results_absentee_ellisk,results_absentee_schmitzt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
29099,Jefferson,31086,8522,15,15,Released as a precinct as first report of the night,100,31086,100%,100% reported,edison,10,all,15296,20945,9364,777,4798,3594,130,2020-12-10T12:34:32Z,37.25471,R+37,Smith +37,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29123,Madison,5593,0,8,8,None,100,5593,100%,100% reported,edison,10,all,1022,4413,1085,95,0,0,0,2020-12-08T21:30:56Z,59.50295,R+60,Smith +60,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29133,Mississippi,4615,0,9,9,Released as a precinct as first report of the night,100,4615,100%,100% reported,edison,10,all,568,3457,1077,81,0,0,0,2020-12-10T12:31:08Z,51.57096,R+52,Smith +52,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29143,New Madrid,7089,0,19,19,Released separately AFTER election night,100,7089,100%,100% reported,edison,10,unknown,581,5326,1676,87,0,0,0,2020-12-10T12:31:24Z,51.48822,R+51,Smith +51,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29149,Oregon,4614,0,8,8,None,100,4614,100%,100% reported,edison,10,unknown,634,3713,817,84,0,0,0,2020-12-10T12:31:47Z,62.7655,R+63,Smith +63,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29153,Ozark,4744,0,11,11,Released as a precinct as first report of the night,100,4744,100%,100% reported,edison,10,unknown,795,3976,706,62,0,0,0,2020-12-09T14:37:49Z,68.92917,R+69,Smith +69,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29155,Pemiscot,5503,0,27,27,Released as a precinct as first report of the night,100,5503,100%,100% reported,edison,10,unknown,834,3953,1488,62,0,0,0,2020-12-10T12:31:53Z,44.79375,R+45,Smith +45,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29157,Perry,9152,1610,19,19,Released as a separate subtotal as first report of the night,100,9152,100%,100% reported,edison,10,all,1120,7397,1621,134,1117,471,22,2020-12-10T12:36:27Z,63.11189,R+63,Smith +63,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29161,Phelps,19349,0,20,20,None,100,19349,100%,100% reported,edison,10,unknown,3112,13591,5302,456,0,0,0,2020-12-10T12:32:06Z,42.83942,R+43,Smith +43,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
29179,Reynolds,3156,0,14,14,Released as a precinct as first report of the night,100,3156,100%,100% reported,edison,10,unknown,616,2546,546,64,0,0,0,2020-12-10T12:35:33Z,63.37136,R+63,Smith +63,republican,smithj,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",330226,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,440,440,100% reporting,100%,100,330226,edison,100%,100% reported,edison,republican,FALSE,2020-12-10T12:37:52Z,TRUE,55.4923,183250,R+55,Smith +55,republican,TRUE,"","",0,0,1604460670594,FALSE
