fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_panettaj,results_gormanj,results_absentee_panettaj,results_absentee_gormanj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
06053,Monterey,163348,112559,188,188,Released as a separate subtotal as first report of the night,100,163348,100%,100% reported,edison,10,some,140518,122057,41291,86572,25987,2020-11-25T02:41:05Z,49.44413,D+49,Panetta +49,democrat,panettaj,CA-G-H-20-2020-11-03,ca-house-general-district-020-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-20.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 20,U.S. House,H,solid-dem,20,District 20,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",308554,133281,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,376,376,100% reporting,100%,100,308554,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:35:18Z,TRUE,53.55238,165238,D+54,Panetta +54,democrat,TRUE,"","",17,0,1609886186413,FALSE
06069,San Benito,28147,20722,54,54,Released as a separate subtotal as first report of the night,100,28147,100%,100% reported,edison,10,unknown,19926,18735,9412,14214,6508,2020-12-01T02:41:06Z,33.12254,D+33,Panetta +33,democrat,panettaj,CA-G-H-20-2020-11-03,ca-house-general-district-020-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-20.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 20,U.S. House,H,solid-dem,20,District 20,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",308554,133281,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,376,376,100% reporting,100%,100,308554,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:35:18Z,TRUE,53.55238,165238,D+54,Panetta +54,democrat,TRUE,"","",17,0,1609886186413,FALSE
06085,Santa Clara,6761,0,4,4,Released as a separate subtotal as first report of the night,100,6761,100%,100% reported,edison,10,all,732616,5158,1603,0,0,2020-12-05T21:11:46Z,52.58098,D+53,Panetta +53,democrat,panettaj,CA-G-H-20-2020-11-03,ca-house-general-district-020-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-20.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 20,U.S. House,H,solid-dem,20,District 20,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",308554,133281,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,376,376,100% reporting,100%,100,308554,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:35:18Z,TRUE,53.55238,165238,D+54,Panetta +54,democrat,TRUE,"","",17,0,1609886186413,FALSE
06087,Santa Cruz,110298,0,130,130,Released as a separate subtotal as first report of the night,100,110298,100%,100% reported,edison,10,some,102995,90946,19352,0,0,2020-12-05T20:54:08Z,64.90961,D+65,Panetta +65,democrat,panettaj,CA-G-H-20-2020-11-03,ca-house-general-district-020-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-20.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 20,U.S. House,H,solid-dem,20,District 20,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",308554,133281,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,376,376,100% reporting,100%,100,308554,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:35:18Z,TRUE,53.55238,165238,D+54,Panetta +54,democrat,TRUE,"","",17,0,1609886186413,FALSE
