fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_bentzc,results_spensera,results_werchr,results_absentee_bentzc,results_absentee_spensera,results_absentee_werchr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
41035,Klamath,35633,0,43,43,Other,100,35633,100%,100% reported,edison,10,unknown,25564,8861,1208,0,0,0,2020-12-06T01:33:01Z,46.87509,R+47,Bentz +47,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41037,Lake,4250,0,19,19,Other,100,4250,100%,100% reported,edison,10,unknown,3539,619,92,0,0,0,2020-12-06T01:43:48Z,68.70588,R+69,Bentz +69,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41045,Malheur,11689,0,24,24,Other,100,11689,100%,100% reported,edison,10,unknown,8910,2466,313,0,0,0,2020-12-06T01:38:47Z,55.12875,R+55,Bentz +55,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41049,Morrow,4987,0,5,5,Other,100,4987,100%,100% reported,edison,10,unknown,3628,1171,188,0,0,0,2020-11-24T13:22:15Z,49.2681,R+49,Bentz +49,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41055,Sherman,1162,0,5,5,Other,100,1162,100%,100% reported,edison,10,unknown,950,188,24,0,0,0,2020-11-24T13:22:16Z,65.57659,R+66,Bentz +66,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41059,Umatilla,31732,0,45,45,Other,100,31732,100%,100% reported,edison,10,unknown,21668,8887,1177,0,0,0,2020-11-25T21:50:35Z,40.27795,R+40,Bentz +40,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41061,Union,14411,0,19,19,Other,100,14411,100%,100% reported,edison,10,unknown,10499,3537,375,0,0,0,2020-11-24T13:22:16Z,48.31032,R+48,Bentz +48,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41063,Wallowa,5034,0,12,12,Other,100,5034,100%,100% reported,edison,10,unknown,3576,1336,122,0,0,0,2020-12-06T01:40:51Z,44.49742,R+44,Bentz +44,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41065,Wasco,13545,0,14,14,Other,100,13545,100%,100% reported,edison,10,unknown,7426,5663,456,0,0,0,2020-11-24T13:22:19Z,13.01587,R+13,Bentz +13,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
41069,Wheeler,929,0,3,3,Other,100,929,100%,100% reported,edison,10,unknown,738,173,18,0,0,0,2020-11-24T13:22:20Z,60.81808,R+61,Bentz +61,republican,bentzc,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",456810,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,386,386,100% reporting,100%,100,456810,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:47:35Z,FALSE,22.97542,104954,R+23,Bentz +23,republican,TRUE,"","",0,0,1604464647145,FALSE
