fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_costaj,results_cookinghamk,results_absentee_costaj,results_absentee_cookinghamk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
06019,Fresno,90639,55642,98,98,Merged into voters' home precincts and released with cumulative results,100,90639,100%,100% reported,edison,10,all,227374,62650,27989,40088,15554,2020-11-30T17:41:08Z,38.24071,D+38,Costa +38,democrat,costaj,CA-G-H-16-2020-11-03,ca-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-dem,16,District 16,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",216729,79291,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,414,414,100% reporting,100%,100,216729,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:32:31Z,TRUE,18.7566,40651,D+19,Costa +19,democrat,TRUE,"","",17,0,1609886186413,FALSE
06039,Madera,36700,23649,48,48,Released as a separate subtotal as first report of the night,100,36700,100%,100% reported,edison,10,all,39467,16427,20273,11053,12596,2020-11-28T03:46:11Z,10.47956,R+10,Cookingham +10,republican,cookinghamk,CA-G-H-16-2020-11-03,ca-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-dem,16,District 16,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",216729,79291,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,414,414,100% reporting,100%,100,216729,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:32:31Z,TRUE,18.7566,40651,D+19,Costa +19,democrat,TRUE,"","",17,0,1609886186413,FALSE
06047,Merced,89390,0,268,268,Released as a separate subtotal as first report of the night,100,89390,100%,100% reported,edison,10,unknown,52923,49613,39777,0,0,2020-11-24T13:23:33Z,11.00347,D+11,Costa +11,democrat,costaj,CA-G-H-16-2020-11-03,ca-house-general-district-016-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-16.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 16,U.S. House,H,solid-dem,16,District 16,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,winner,AP,FALSE,"",216729,79291,2,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,414,414,100% reporting,100%,100,216729,edison,100%,100% reported,edison,democrat,FALSE,2020-12-05T21:32:31Z,TRUE,18.7566,40651,D+19,Costa +19,democrat,TRUE,"","",17,0,1609886186413,FALSE
