fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kima,results_richterd,results_weberm,results_shapiror,results_absentee_kima,results_absentee_richterd,results_absentee_weberm,results_absentee_shapiror,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
34005,Burlington,242455,165806,344,344,Merged into voters' home precincts and released with cumulative results,100,242455,100%,100% reported,edison,10,some,31397,150932,89332,1255,936,109465,55151,682,508,2020-12-07T21:49:06Z,25.40678,D+25,Kim +25,democrat,kima,NJ-G-H-3-2020-11-03,nj-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,likely-dem,3,District 3,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",431762,314569,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,583,583,100% reporting,100%,100,431762,edison,100%,100% reported,edison,democrat,FALSE,2020-12-07T23:37:40Z,TRUE,7.76192,33513,D+8,Kim +8,democrat,TRUE,"","",7,0,1604467025874,FALSE
34029,Ocean,189307,148763,239,239,Released as a separate subtotal as first report of the night,100,189307,100%,100% reported,edison,10,some,43803,78908,106995,2469,935,63531,82886,1695,651,2020-12-07T23:30:29Z,14.83675,R+15,Richter +15,republican,richterd,NJ-G-H-3-2020-11-03,nj-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,likely-dem,3,District 3,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",431762,314569,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,583,583,100% reporting,100%,100,431762,edison,100%,100% reported,edison,democrat,FALSE,2020-12-07T23:37:40Z,TRUE,7.76192,33513,D+8,Kim +8,democrat,TRUE,"","",7,0,1604467025874,FALSE
