fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_browna,results_mcdermottg,results_absentee_browna,results_absentee_mcdermottg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
24003,Anne Arundel,110009,0,75,75,Released as a precinct as first report of the night,100,110009,100%,100% reported,edison,10,none,61018,53948,56061,0,0,2020-12-09T15:12:49Z,1.92075,R+1.9,McDermott +1.9,republican,mcdermottg,MD-G-H-4-2020-11-03,md-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",353790,174992,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,244,244,100% reporting,100%,100,353790,edison,100%,100% reported,edison,democrat,FALSE,2020-12-09T15:12:36Z,TRUE,59.48387,210448,D+59,Brown +59,democrat,TRUE,"","",10,0,1609886186415,FALSE
24033,Prince George's,243781,174992,169,169,None,100,243781,100%,100% reported,edison,10,unknown,111886,228171,15610,164781,10211,2020-12-09T15:12:35Z,87.19342,D+87,Brown +87,democrat,browna,MD-G-H-4-2020-11-03,md-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",353790,174992,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,244,244,100% reporting,100%,100,353790,edison,100%,100% reported,edison,democrat,FALSE,2020-12-09T15:12:36Z,TRUE,59.48387,210448,D+59,Brown +59,democrat,TRUE,"","",10,0,1609886186415,FALSE
