fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rosendalem,results_williamsk,results_absentee_rosendalem,results_absentee_williamsk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
30021,Dawson,4800,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4800,100%,100% reported,edison,10,unknown,4322,3639,1161,0,0,2021-01-15T20:21:22Z,51.625,R+52,Rosendale +52,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30023,Deer Lodge,4867,0,14,14,Merged into voters' home precincts and released with cumulative results,100,4867,100%,100% reported,edison,10,some,3414,2036,2831,0,0,2020-12-01T13:58:20Z,16.3345,D+16,Williams +16,democrat,williamsk,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30025,Fallon,1563,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1563,100%,100% reported,edison,10,unknown,899,1312,251,0,0,2020-11-24T13:24:32Z,67.88228,R+68,Rosendale +68,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30027,Fergus,6468,0,16,16,None,100,6468,100%,100% reported,edison,10,unknown,5078,4715,1753,0,0,2021-01-15T20:33:34Z,45.79468,R+46,Rosendale +46,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30029,Flathead,59697,0,42,42,Merged into voters' home precincts and released with cumulative results,100,59697,100%,100% reported,edison,10,some,38453,38426,21271,0,0,2021-01-15T20:22:23Z,28.73679,R+29,Rosendale +29,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30031,Gallatin,70718,0,32,32,Merged into voters' home precincts and released with cumulative results,100,70718,100%,100% reported,edison,10,unknown,51851,32217,38501,0,0,2021-01-15T20:22:15Z,8.886,D+9,Williams +9,democrat,williamsk,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30033,Garfield,801,0,4,4,Merged into voters' home precincts and released with cumulative results,100,801,100%,100% reported,edison,10,unknown,432,738,63,0,0,2020-11-24T13:24:33Z,84.26966,R+84,Rosendale +84,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30035,Glacier,5668,0,16,16,Merged into voters' home precincts and released with cumulative results,100,5668,100%,100% reported,edison,10,unknown,3322,1783,3885,0,0,2021-01-15T20:23:01Z,37.08539,D+37,Williams +37,democrat,williamsk,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30037,Golden Valley,459,0,2,2,Merged into voters' home precincts and released with cumulative results,100,459,100%,100% reported,edison,10,unknown,422,412,47,0,0,2020-11-24T13:24:33Z,79.5207,R+80,Rosendale +80,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
30039,Granite,2088,0,4,4,Merged into voters' home precincts and released with cumulative results,100,2088,100%,100% reported,edison,10,unknown,1243,1388,700,0,0,2020-11-24T13:24:33Z,32.95019,R+33,Rosendale +33,republican,rosendalem,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",601509,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,663,663,100% reporting,100%,100,601509,edison,100%,100% reported,edison,republican,FALSE,2020-12-06T01:16:22Z,FALSE,12.77271,76829,R+13,Rosendale +13,republican,TRUE,"","",0,0,1604473773708,FALSE
