fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_jonesm,results_mcardle_schulmanm,results_eisenj,results_gottesfeldy,results_pariettim,results_write_ins,results_absentee_jonesm,results_absentee_mcardle_schulmanm,results_absentee_eisenj,results_absentee_gottesfeldy,results_absentee_pariettim,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36087,Rockland,139592,0,277,277,Merged into voters' home precincts AFTER election night,100,139592,>98%,>98% reported,edison,10,all,73455,54791,4740,4544,1974,88,0,0,0,0,0,0,2020-12-04T16:04:58Z,13.37039,D+13,Jones +13,democrat,jonesm,NY-G-H-17-2020-11-03,ny-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,"In the race to replace Representative Nita Lowey, who will be retiring after a 32-year career, 
<a href=""https://www.nytimes.com/2020/07/14/nyregion/mondaire-jones-house-primary.html"">Mondaire Jones</a>, an openly gay Black lawyer who graduated from Stanford University and Harvard Law School, is expected to win over the Republican, Maureen McArdle-Schulman, a retired firefighter.",solid-dem,TRUE,17,District 17,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332852,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,694,694,100% reporting,100%,100,332852,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-04T16:50:54Z,FALSE,24.04853,80046,D+24,Jones +24,democrat,TRUE,"","",7,0,1604506563243
36119,Westchester,193260,0,417,417,Merged into voters' home precincts AFTER election night,100,193260,>98%,>98% reported,edison,10,all,123898,62516,1623,4343,771,109,0,0,0,0,0,0,2020-12-04T16:07:49Z,31.76136,D+32,Jones +32,democrat,jonesm,NY-G-H-17-2020-11-03,ny-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,"In the race to replace Representative Nita Lowey, who will be retiring after a 32-year career, 
<a href=""https://www.nytimes.com/2020/07/14/nyregion/mondaire-jones-house-primary.html"">Mondaire Jones</a>, an openly gay Black lawyer who graduated from Stanford University and Harvard Law School, is expected to win over the Republican, Maureen McArdle-Schulman, a retired firefighter.",solid-dem,TRUE,17,District 17,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332852,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,694,694,100% reporting,100%,100,332852,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-04T16:50:54Z,FALSE,24.04853,80046,D+24,Jones +24,democrat,TRUE,"","",7,0,1604506563243
