fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_millerm,results_weavere,results_absentee_millerm,results_absentee_weavere,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
17047,Edwards,3201,0,10,12,Merged into voters' home precincts and released with cumulative results,86,3713,86%,86% reported,edison,4,all,874,2743,458,0,0,2021-01-04T16:14:15Z,71.38394,R+71,Miller +71,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17049,Effingham,18462,0,35,37,Merged into voters' home precincts and released with cumulative results,94,19557,94%,94% reported,edison,4,unknown,5338,14870,3592,0,0,2021-01-04T16:14:27Z,61.08764,R+61,Miller +61,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17051,Fayette,9848,0,26,28,Merged into voters' home precincts and released with cumulative results,100,9808,100%,100% reported,edison,6,some,1970,7968,1880,0,0,2021-01-04T16:14:38Z,61.81966,R+62,Miller +62,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17053,Ford,3021,0,9,10,Merged into voters' home precincts and released with cumulative results,96,3134,96%,96% reported,edison,4,unknown,1058,2344,677,0,0,2021-01-04T16:14:49Z,55.1804,R+55,Miller +55,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17059,Gallatin,2427,235,9,11,Merged into voters' home precincts and released with cumulative results,80,3015,80%,80% reported,edison,4,all,1011,1764,663,163,72,2021-01-04T16:15:19Z,45.36465,R+45,Miller +45,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17065,Hamilton,4097,0,14,16,None,88,4644,88%,88% reported,edison,4,none,1330,3190,907,0,0,2021-01-04T16:15:40Z,55.7237,R+56,Miller +56,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17069,Hardin,2044,0,5,6,Merged into voters' home precincts and released with cumulative results,85,2393,85%,85% reported,edison,2,unknown,1520,1571,473,0,0,2020-12-08T17:38:54Z,53.7182,R+54,Miller +54,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17079,Jasper,5294,0,15,16,Merged into voters' home precincts and released with cumulative results,93,5719,93%,93% reported,edison,2,some,2270,4313,981,0,0,2021-01-04T16:16:37Z,62.93918,R+63,Miller +63,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17087,Johnson,6238,0,15,16,Released as a precinct at the end of tabulation,100,6230,100%,100% reported,edison,6,some,3610,4968,1270,0,0,2021-01-04T16:17:17Z,59.28182,R+59,Miller +59,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
17101,Lawrence,6050,0,20,22,None,89,6772,89%,89% reported,edison,4,none,920,4589,1461,0,0,2021-01-04T16:19:37Z,51.70248,R+52,Miller +52,republican,millerm,IL-G-H-15-2020-11-03,il-house-general-district-015-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-15.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 15,U.S. House,H,solid-rep,15,District 15,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",333506,14855,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,709,789,90% reporting,90%,93,359000,edison,93%,93% reported,edison,republican,FALSE,2020-12-08T17:42:35Z,FALSE,46.89211,156388,R+47,Miller +47,republican,FALSE,"","",14,0,1609886186414,FALSE
