fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_suozzit,results_santosg,results_rabinh,results_write_ins,results_absentee_suozzit,results_absentee_santosg,results_absentee_rabinh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36059,Nassau,188112,0,327,327,Merged into voters' home precincts AFTER election night,100,188112,100%,100% reported,edison,10,some,106085,80920,1039,68,0,0,0,0,2020-12-04T13:57:44Z,13.37767,D+13,Suozzi +13,democrat,suozzit,NY-G-H-3-2020-11-03,ny-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372781,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,609,609,100% reporting,100%,100,372781,edison,100%,100% reported,edison,democrat,FALSE,2020-12-04T21:52:24Z,TRUE,12.50708,46624,D+13,Suozzi +13,democrat,TRUE,"","",7,0,1605714227033
36081,Queens,52509,0,91,91,Merged into voters' home precincts AFTER election night,100,52509,100%,100% reported,edison,10,all,31867,20319,287,36,0,0,0,0,2020-12-04T16:02:33Z,21.99242,D+22,Suozzi +22,democrat,suozzit,NY-G-H-3-2020-11-03,ny-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372781,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,609,609,100% reporting,100%,100,372781,edison,100%,100% reported,edison,democrat,FALSE,2020-12-04T21:52:24Z,TRUE,12.50708,46624,D+13,Suozzi +13,democrat,TRUE,"","",7,0,1605714227033
36103,Suffolk,132160,0,191,191,Merged into voters' home precincts AFTER election night,100,132160,100%,100% reported,edison,10,all,70603,60692,830,35,0,0,0,0,2020-12-04T21:50:06Z,7.49924,D+7,Suozzi +7,democrat,suozzit,NY-G-H-3-2020-11-03,ny-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-dem,3,District 3,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372781,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,609,609,100% reporting,100%,100,372781,edison,100%,100% reported,edison,democrat,FALSE,2020-12-04T21:52:24Z,TRUE,12.50708,46624,D+13,Suozzi +13,democrat,TRUE,"","",7,0,1605714227033
