fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_lynchs,results_lottj,results_absentee_lynchs,results_absentee_lottj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
25005,Bristol,3198,0,3,3,"",edison,2261,937,0,0,2020-12-07T18:04:43Z,41.40088,D+41,Lynch +41,democrat,lynchs,MA-G-H-8-2020-11-03,ma-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385401,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,204,258,79% reporting,79%,100,385401,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-07T16:43:21Z,TRUE,61.9822,238880,D+62,Lynch +62,democrat,FALSE,"","",3,0,1604469788062
25021,Norfolk,194032,0,117,117,"",edison,156686,37346,0,0,2020-12-07T16:39:30Z,61.50532,D+62,Lynch +62,democrat,lynchs,MA-G-H-8-2020-11-03,ma-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385401,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,204,258,79% reporting,79%,100,385401,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-07T16:43:21Z,TRUE,61.9822,238880,D+62,Lynch +62,democrat,FALSE,"","",3,0,1604469788062
25023,Plymouth,108259,0,66,66,"",edison,86065,22194,0,0,2020-12-07T16:39:14Z,58.99833,D+59,Lynch +59,democrat,lynchs,MA-G-H-8-2020-11-03,ma-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385401,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,204,258,79% reporting,79%,100,385401,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-07T16:43:21Z,TRUE,61.9822,238880,D+62,Lynch +62,democrat,FALSE,"","",3,0,1604469788062
25025,Suffolk,77511,0,18,72,"",edison,65928,11583,0,0,2020-12-07T16:47:33Z,70.11263,D+70,Lynch +70,democrat,lynchs,MA-G-H-8-2020-11-03,ma-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-massachusetts.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-massachusetts.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-dem,8,District 8,MA,massachusetts,Massachusetts,Mass.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385401,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,204,258,79% reporting,79%,100,385401,edison,>98%,>98% reported,edison,democrat,FALSE,2020-12-07T16:43:21Z,TRUE,61.9822,238880,D+62,Lynch +62,democrat,FALSE,"","",3,0,1604469788062
