fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_jacksonr,results_trujillog,results_westbrookj,results_absentee_jacksonr,results_absentee_trujillog,results_absentee_westbrookj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48111,Dallam,1597,1023,10,10,Released as a precinct as first report of the night,100,1597,100%,100% reported,edison,10,unknown,954,1371,200,26,879,124,20,2021-02-17T16:46:31Z,73.32498,R+73,Jackson +73,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48117,Deaf Smith,4540,3585,5,5,Released as a precinct as first report of the night,100,4540,100%,100% reported,edison,10,unknown,739,3207,1268,65,2625,919,41,2021-02-17T16:47:14Z,42.70925,R+43,Jackson +43,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48125,Dickens,960,665,7,7,Released as a precinct as first report of the night,100,960,100%,100% reported,edison,10,unknown,846,828,123,9,576,84,5,2021-02-17T16:47:44Z,73.4375,R+73,Jackson +73,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48129,Donley,1626,1143,7,7,Released as a precinct as first report of the night,100,1626,100%,100% reported,edison,10,unknown,1330,1419,178,29,1000,127,16,2021-02-17T17:07:02Z,76.32226,R+76,Jackson +76,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48153,Floyd,837,682,3,3,Released as a precinct as first report of the night,100,837,100%,100% reported,edison,10,unknown,2191,688,139,10,572,105,5,2021-02-17T16:49:26Z,65.5914,R+66,Jackson +66,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48155,Foard,514,386,5,5,Released as a precinct as first report of the night,100,514,100%,100% reported,edison,10,unknown,398,415,95,4,312,71,3,2021-02-17T16:49:37Z,62.25681,R+62,Jackson +62,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48179,Gray,7684,5689,8,8,Released as a precinct as first report of the night,100,7684,100%,100% reported,edison,10,unknown,7277,6741,787,156,4999,591,99,2021-02-17T16:51:30Z,77.48568,R+77,Jackson +77,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48191,Hall,1135,791,5,5,Released as a precinct as first report of the night,100,1135,100%,100% reported,edison,10,unknown,871,961,157,17,667,113,11,2021-02-17T17:07:20Z,70.837,R+71,Jackson +71,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48195,Hansford,2013,1342,8,8,Released as a precinct as first report of the night,100,2013,100%,100% reported,edison,10,unknown,1429,1814,170,29,1209,111,22,2020-11-28T14:56:39Z,81.66915,R+82,Jackson +82,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
48197,Hardeman,1558,1003,4,4,Released as a precinct as first report of the night,100,1558,100%,100% reported,edison,10,unknown,1239,1338,203,17,848,146,9,2021-02-17T17:07:43Z,72.84981,R+73,Jackson +73,republican,jacksonr,TX-G-H-13-2020-11-03,tx-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273508,217930,40,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,423,423,100% reporting,100%,100,273508,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T17:23:07Z,FALSE,60.92948,166647,R+61,Jackson +61,republican,TRUE,"","",1,0,1604457624852,FALSE
