fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_buckk,results_mccorklei,results_griffithb,results_irelandl,results_absentee_buckk,results_absentee_mccorklei,results_absentee_griffithb,results_absentee_irelandl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
08063,Kit Carson,3766,0,13,13,Other,100,3766,100%,100% reported,edison,10,unknown,3148,525,59,34,0,0,0,0,2020-12-06T15:46:04Z,69.6495,R+70,Buck +70,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08071,Las Animas,7853,0,16,16,Other,100,7853,100%,100% reported,edison,10,unknown,4254,3347,153,99,0,0,0,0,2021-01-12T19:29:56Z,11.54973,R+12,Buck +12,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08073,Lincoln,2599,0,13,13,Other,100,2599,100%,100% reported,edison,10,unknown,2134,382,49,34,0,0,0,0,2020-12-06T15:46:31Z,67.41054,R+67,Buck +67,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08075,Logan,10302,0,16,16,Other,100,10302,100%,100% reported,edison,10,unknown,8134,1849,202,117,0,0,0,0,2020-12-06T15:46:37Z,61.00757,R+61,Buck +61,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08087,Morgan,13432,0,18,18,Other,100,13432,100%,100% reported,edison,10,unknown,9617,3347,285,183,0,0,0,0,2020-12-06T15:47:00Z,46.67957,R+47,Buck +47,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08089,Otero,9430,0,17,17,Other,100,9430,100%,100% reported,edison,10,some,5946,3188,153,143,0,0,0,0,2020-12-06T15:47:05Z,29.24708,R+29,Buck +29,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08095,Phillips,2425,0,8,8,Other,100,2425,100%,100% reported,edison,10,unknown,1965,402,46,12,0,0,0,0,2020-12-06T15:47:11Z,64.45361,R+64,Buck +64,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08099,Prowers,5430,0,13,13,Other,100,5430,100%,100% reported,edison,10,unknown,4008,1286,77,59,0,0,0,0,2020-12-06T15:47:16Z,50.12891,R+50,Buck +50,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08115,Sedgwick,1407,0,5,5,Other,100,1407,100%,100% reported,edison,10,unknown,1128,239,23,17,0,0,0,0,2020-12-06T15:47:40Z,63.18408,R+63,Buck +63,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08121,Washington,2973,0,6,6,Other,100,2973,100%,100% reported,edison,10,unknown,2600,303,48,22,0,0,0,0,2020-12-06T15:50:16Z,77.26202,R+77,Buck +77,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08123,Weld,162240,0,156,156,Other,100,162240,100%,100% reported,edison,10,all,98886,57762,4001,1591,0,0,0,0,2021-01-12T19:36:06Z,25.34763,R+25,Buck +25,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
08125,Yuma,4872,0,14,14,Other,100,4872,100%,100% reported,edison,10,unknown,4155,617,66,34,0,0,0,0,2020-12-06T15:47:54Z,72.61905,R+73,Buck +73,republican,buckk,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",475107,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,528,528,100% reporting,100%,100,475107,edison,100%,100% reported,edison,republican,FALSE,2021-01-26T18:22:48Z,TRUE,23.50228,111661,R+24,Buck +24,republican,TRUE,"","",0,0,1604459787450,FALSE
