fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_arringtonj,results_watsont,results_burnesj,results_absentee_arringtonj,results_absentee_watsont,results_absentee_burnesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48207,Haskell,2200,1373,5,5,Released as a precinct as first report of the night,100,2200,100%,100% reported,edison,10,unknown,1208,1853,324,23,1142,222,9,2020-11-24T13:26:43Z,69.5,R+70,Arrington +70,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48219,Hockley,8022,6268,15,15,Released as a precinct as first report of the night,100,8022,100%,100% reported,edison,10,unknown,6866,6623,1264,135,5181,1002,85,2021-02-17T17:11:49Z,66.80379,R+67,Arrington +67,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48227,Howard,9932,8083,27,27,Released as a precinct as first report of the night,100,9932,100%,100% reported,edison,10,unknown,8479,7853,1871,208,6402,1536,145,2021-02-22T19:54:38Z,60.22956,R+60,Arrington +60,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48253,Jones,6617,4312,12,12,Released as a precinct as first report of the night,100,6617,100%,100% reported,edison,10,unknown,3234,5650,866,101,3636,625,51,2021-02-17T17:14:19Z,72.29862,R+72,Arrington +72,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48263,Kent,443,309,7,7,Released as a precinct as first report of the night,100,443,100%,100% reported,edison,10,all,353,386,53,4,260,47,2,2021-02-17T17:14:56Z,75.1693,R+75,Arrington +75,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48279,Lamb,4385,3075,12,12,Released as a precinct as first report of the night,100,4385,100%,100% reported,edison,10,unknown,2723,3580,735,70,2511,528,36,2021-02-17T17:16:01Z,64.88027,R+65,Arrington +65,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48303,Lubbock,118023,103768,98,98,Released as a precinct as first report of the night,100,118023,100%,100% reported,edison,10,unknown,108791,80707,33956,3360,71304,29907,2557,2021-02-17T17:17:48Z,39.61177,R+40,Arrington +40,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48305,Lynn,2269,1264,15,15,Released as a precinct as first report of the night,100,2269,100%,100% reported,edison,10,all,1615,1905,364,0,1069,195,0,2021-02-22T20:06:32Z,67.91538,R+68,Arrington +68,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48353,Nolan,5286,3512,10,10,Released as a precinct as first report of the night,100,5286,100%,100% reported,edison,10,unknown,3284,4185,1027,74,2730,749,33,2021-02-17T17:20:47Z,59.74272,R+60,Arrington +60,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
48369,Parmer,2618,1295,10,10,Released as a precinct as first report of the night,100,2618,100%,100% reported,edison,10,unknown,1526,2140,433,45,1110,179,6,2021-02-17T17:21:16Z,65.20244,R+65,Arrington +65,republican,arringtonj,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",265052,217908,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,391,391,100% reporting,100%,100,265052,edison,100%,100% reported,edison,republican,FALSE,2021-02-22T20:09:36Z,TRUE,51.92,137615,R+52,Arrington +52,republican,TRUE,"","",1,0,1604459431237,FALSE
