fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_scotta,results_hollidayl,results_absentee_scotta,results_absentee_hollidayl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
13155,Irwin,4096,3210,3,3,Released as a precinct as first report of the night,100,4096,100%,100% reported,edison,10,all,2670,3145,943,2497,713,2020-12-04T23:39:46Z,53.75977,R+54,Scott +54,republican,scotta,8,0,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13169,Jones,14634,10812,10,10,Merged into voters' home precincts AFTER election night,100,14634,100%,100% reported,edison,10,some,10683,10031,4603,7017,3795,2020-12-04T23:43:03Z,37.0917,R+37,Scott +37,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13173,Lanier,3440,2783,1,1,Released separately AFTER election night,100,3440,100%,100% reported,edison,10,unknown,2618,2514,926,2041,742,2020-12-04T23:43:50Z,46.16279,R+46,Scott +46,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13185,Lowndes,43289,35163,12,12,Merged into voters' home precincts and released with cumulative results,100,43289,100%,100% reported,edison,10,unknown,37909,25068,18221,19796,15367,2020-12-04T23:48:13Z,15.81695,R+16,Scott +16,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13207,Monroe,15203,11463,14,14,Released as a separate subtotal as first report of the night,100,15203,100%,100% reported,edison,10,unknown,9966,11086,4117,8011,3452,2020-12-04T23:53:43Z,45.83964,R+46,Scott +46,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13235,Pulaski,3884,3400,1,1,None,100,3884,100%,100% reported,edison,10,some,3709,2804,1080,2470,930,2020-12-04T23:51:01Z,44.38723,R+44,Scott +44,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13271,Telfair,4118,2912,5,6,None,100,4118,100%,100% reported,edison,10,unknown,2662,2703,1415,1796,1116,2020-12-04T23:35:57Z,31.27732,R+31,Scott +31,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13275,Thomas,21124,17042,20,20,None,100,21124,100%,100% reported,edison,10,unknown,17408,13121,8003,10414,6628,2020-12-04T23:36:48Z,24.22837,R+24,Scott +24,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13277,Tift,15928,12102,12,12,Released as a precinct as first report of the night,100,15928,100%,100% reported,edison,10,all,12083,11267,4645,8452,3635,2020-12-04T23:37:02Z,41.57459,R+42,Scott +42,republican,scotta,16,15,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
13287,Turner,3712,3012,3,3,None,100,3712,100%,100% reported,edison,10,all,3227,2468,1244,2070,942,2020-12-04T23:39:44Z,32.97414,R+33,Scott +33,republican,scotta,,,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",307989,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,100,307989,edison,100%,100% reported,edison,republican,FALSE,2020-11-24T13:23:55Z,TRUE,29.03902,89437,R+29,Scott +29,republican,TRUE,"","",0,0,1604456699154,FALSE
