fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_pflugera,results_hoggj,results_codyw,results_absentee_pflugera,results_absentee_hoggj,results_absentee_codyw,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
48143,Erath,9030,7130,12,12,Released as a precinct as first report of the night,100,9030,100%,100% reported,edison,10,unknown,13085,7453,1351,226,5895,1084,151,2021-02-17T16:48:47Z,67.57475,R+68,Pfluger +68,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48173,Glasscock,649,486,5,5,Released as a precinct as first report of the night,100,649,100%,100% reported,edison,10,unknown,495,612,32,5,454,28,4,2021-02-17T16:50:59Z,89.36826,R+89,Pfluger +89,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48221,Hood,31596,25057,16,16,Released as a precinct as first report of the night,100,31596,100%,100% reported,edison,10,unknown,23816,25967,5066,563,20445,4267,345,2020-12-14T20:34:22Z,66.15078,R+66,Pfluger +66,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48235,Irion,879,663,5,5,Released as a precinct as first report of the night,100,879,100%,100% reported,edison,10,unknown,640,757,109,13,567,86,10,2020-11-28T14:49:39Z,73.72014,R+74,Pfluger +74,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48267,Kimble,2234,1763,8,8,Released as a precinct as first report of the night,100,2234,100%,100% reported,edison,10,unknown,1950,1963,231,40,1548,187,28,2020-11-28T14:49:43Z,77.5291,R+78,Pfluger +78,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48299,Llano,12388,10986,10,10,Released as a precinct as first report of the night,100,12388,100%,100% reported,edison,10,unknown,11573,9986,2208,194,8819,2025,142,2020-11-28T14:49:47Z,62.78657,R+63,Pfluger +63,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48317,Martin,2109,1669,6,6,Released as a precinct as first report of the night,100,2109,100%,100% reported,edison,10,unknown,738,1811,266,32,1446,201,22,2020-11-24T13:26:59Z,73.25747,R+73,Pfluger +73,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48319,Mason,2428,2048,5,5,Released as a precinct as first report of the night,100,2428,100%,100% reported,edison,10,all,2092,1980,419,29,1648,376,24,2020-12-14T20:12:23Z,64.2916,R+64,Pfluger +64,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48307,McCulloch,3371,2620,4,4,Released as a precinct as first report of the night,100,3371,100%,100% reported,edison,10,unknown,3128,2839,444,88,2190,366,64,2020-11-28T14:49:50Z,71.04717,R+71,Pfluger +71,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
48327,Menard,1003,781,7,7,Released as a precinct as first report of the night,100,1003,100%,100% reported,edison,10,unknown,813,800,186,17,621,148,12,2020-11-28T14:49:56Z,61.21635,R+61,Pfluger +61,republican,pflugera,TX-G-H-11-2020-11-03,tx-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,solid-rep,11,District 11,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",291773,232196,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,353,353,100% reporting,100%,100,291773,edison,100%,100% reported,edison,republican,FALSE,2021-02-17T16:51:00Z,FALSE,61.4087,179174,R+61,Pfluger +61,republican,TRUE,"","",1,0,1604457873285,FALSE
