fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_crowj,results_houses,results_olsenn,results_kulikowskij,results_absentee_crowj,results_absentee_houses,results_absentee_olsenn,results_absentee_kulikowskij,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
08001,Adams,60037,0,65,65,Other,100,60037,100%,100% reported,edison,10,unknown,31079,26694,1508,756,0,0,0,0,2021-01-12T19:37:51Z,7.30383,D+7,Crow +7,democrat,crowj,CO-G-H-6-2020-11-03,co-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",438473,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,469,469,100% reporting,100%,98,448473,edison,98%,98% reported,edison,democrat,FALSE,2021-01-26T18:23:31Z,TRUE,17.13264,75122,D+17,Crow +17,democrat,FALSE,"","",0,0,1604457749431,FALSE
08005,Arapahoe,307659,0,349,349,Other,100,307659,100%,100% reported,edison,10,unknown,184589,113991,6312,2767,0,0,0,0,2021-01-26T18:19:44Z,22.94683,D+23,Crow +23,democrat,crowj,CO-G-H-6-2020-11-03,co-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",438473,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,469,469,100% reporting,100%,98,448473,edison,98%,98% reported,edison,democrat,FALSE,2021-01-26T18:23:31Z,TRUE,17.13264,75122,D+17,Crow +17,democrat,FALSE,"","",0,0,1604457749431,FALSE
08035,Douglas,70777,0,55,55,Other,100,70777,100%,100% reported,edison,10,all,34646,34507,1263,361,0,0,0,0,2021-01-26T18:20:55Z,0.19639,D+0.20,Crow +0.20,democrat,crowj,CO-G-H-6-2020-11-03,co-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-dem,6,District 6,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",438473,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,469,469,100% reporting,100%,98,448473,edison,98%,98% reported,edison,democrat,FALSE,2021-01-26T18:23:31Z,TRUE,17.13264,75122,D+17,Crow +17,democrat,FALSE,"","",0,0,1604457749431,FALSE
