fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_hayesj,results_sullivand,results_walczakb,results_absentee_hayesj,results_absentee_sullivand,results_absentee_walczakb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,edison_certified_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race,is_runoff_results_race
09001,Fairfield,80025,0,35,35,"",edison,43847,34866,1312,0,0,0,2020-11-24T13:22:06Z,11.22274,D+11,Hayes +11,democrat,hayesj,CT-G-H-5-2020-11-03,ct-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,"Representative Jahana Hayes, a teacher, was <a href=""https://www.rollingstone.com/politics/politics-features/jahana-hayes-congress-interview-797222/"">featured by Rolling Stone</a> as one of the women of color who helped Democrats win a majority of the House in 2018. She faces David X. Sullivan as her Republican opposition, a former assistant U.S. attorney. ",solid-dem,TRUE,5,District 5,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349524,20255,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,159,159,100% reporting,100%,100,349524,edison,100%,100% reported,edison,democrat,FALSE,2021-02-23T15:52:42Z,TRUE,11.58604,40496,D+12,Hayes +12,democrat,FALSE,"","",0,0,1604513559568,FALSE
09003,Hartford,88419,6477,37,37,"",edison,52967,34001,1451,4843,1547,87,2020-11-24T13:22:00Z,21.45014,D+21,Hayes +21,democrat,hayesj,CT-G-H-5-2020-11-03,ct-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,"Representative Jahana Hayes, a teacher, was <a href=""https://www.rollingstone.com/politics/politics-features/jahana-hayes-congress-interview-797222/"">featured by Rolling Stone</a> as one of the women of color who helped Democrats win a majority of the House in 2018. She faces David X. Sullivan as her Republican opposition, a former assistant U.S. attorney. ",solid-dem,TRUE,5,District 5,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349524,20255,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,159,159,100% reporting,100%,100,349524,edison,100%,100% reported,edison,democrat,FALSE,2021-02-23T15:52:42Z,TRUE,11.58604,40496,D+12,Hayes +12,democrat,FALSE,"","",0,0,1604513559568,FALSE
09005,Litchfield,84077,0,41,41,"",edison,40666,42352,1059,0,0,0,2020-11-24T13:21:59Z,2.0053,R+2,Sullivan +2,republican,sullivand,CT-G-H-5-2020-11-03,ct-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,"Representative Jahana Hayes, a teacher, was <a href=""https://www.rollingstone.com/politics/politics-features/jahana-hayes-congress-interview-797222/"">featured by Rolling Stone</a> as one of the women of color who helped Democrats win a majority of the House in 2018. She faces David X. Sullivan as her Republican opposition, a former assistant U.S. attorney. ",solid-dem,TRUE,5,District 5,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349524,20255,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,159,159,100% reporting,100%,100,349524,edison,100%,100% reported,edison,democrat,FALSE,2021-02-23T15:52:42Z,TRUE,11.58604,40496,D+12,Hayes +12,democrat,FALSE,"","",0,0,1604513559568,FALSE
09009,New Haven,97003,13778,46,46,"",edison,55004,40769,1230,10309,3324,145,2020-11-30T19:06:49Z,14.6748,D+15,Hayes +15,democrat,hayesj,CT-G-H-5-2020-11-03,ct-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-connecticut.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-connecticut.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,"Representative Jahana Hayes, a teacher, was <a href=""https://www.rollingstone.com/politics/politics-features/jahana-hayes-congress-interview-797222/"">featured by Rolling Stone</a> as one of the women of color who helped Democrats win a majority of the House in 2018. She faces David X. Sullivan as her Republican opposition, a former assistant U.S. attorney. ",solid-dem,TRUE,5,District 5,CT,connecticut,Connecticut,Conn.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",349524,20255,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,159,159,100% reporting,100%,100,349524,edison,100%,100% reported,edison,democrat,FALSE,2021-02-23T15:52:42Z,TRUE,11.58604,40496,D+12,Hayes +12,democrat,FALSE,"","",0,0,1604513559568,FALSE
