fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_write_ins,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47091,Johnson,7801,0,10,10,Released as a separate subtotal as first report of the night,100,7801,100%,100% reported,edison,10,all,,5107,,,6468,1246,45,10,13,12,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:47:43Z,66.94014,R+67,Trump +67,republican,trumpd,66.94014,6579,67.2,6194,50.5,tennessee,2021-05-06T22:33:22.304595Z
47093,Knox,220556,173529,89,89,Released as a separate subtotal as first report of the night,100,220556,100%,100% reported,edison,10,all,,164850,,,124540,91422,2879,468,361,414,102,89,155,126,94321,76453,1780,255,237,271,69,55,0,88,2020-12-16T17:48:42Z,15.01569,R+15,Trump +15,republican,trumpd,15.01569,180697,23.7,172507,29.16,tennessee,2021-05-06T22:33:22.304595Z
47095,Lake,2034,0,3,3,"Released as first report, then NOT included in cumulative results",100,2034,100%,100% reported,edison,10,unknown,,1301,,,1492,526,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:09Z,47.49263,R+47,Trump +47,republican,trumpd,47.49263,1970,39.6,2087,13.37,tennessee,2021-05-06T22:33:22.304595Z
47097,Lauderdale,8965,0,10,10,Released as a separate subtotal as first report of the night,100,8965,100%,100% reported,edison,10,unknown,,5858,,,5674,3193,49,18,9,11,7,1,0,3,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:14Z,27.67429,R+28,Trump +28,republican,trumpd,27.67429,8087,22.6,8689,6.96,tennessee,2021-05-06T22:33:22.304595Z
47099,Lawrence,18718,0,24,24,Released as a separate subtotal as first report of the night,100,18718,100%,100% reported,edison,10,unknown,,8631,,,15334,3195,116,15,27,18,6,5,0,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:06Z,64.85201,R+65,Trump +65,republican,trumpd,64.85201,15666,61.3,15219,42.93,tennessee,2021-05-06T22:33:22.304595Z
47101,Lewis,5609,0,9,9,Released as a precinct as first report of the night,100,5609,100%,100% reported,edison,10,all,,3363,,,4474,1072,27,15,4,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:49:40Z,60.65252,R+61,Trump +61,republican,trumpd,60.65252,4622,58.3,4694,35.58,tennessee,2021-05-06T22:33:22.304595Z
47103,Lincoln,15608,0,20,20,Released as a separate subtotal as first report of the night,100,15608,100%,100% reported,edison,10,unknown,,7444,,,12281,2919,126,147,33,23,41,15,0,23,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:03:13Z,59.98206,R+60,Trump +60,republican,trumpd,59.98206,13348,58.8,13268,49.09,tennessee,2021-05-06T22:33:22.304595Z
47105,Loudon,29347,24591,15,15,Released as a separate subtotal as first report of the night,100,29347,100%,100% reported,edison,10,all,,22705,,,21713,6948,270,181,76,49,55,32,7,16,17883,6218,177,136,66,37,41,22,0,11,2020-12-16T17:50:37Z,50.31179,R+50,Trump +50,republican,trumpd,50.31179,23391,54.3,22073,52.77,tennessee,2021-05-06T22:33:22.304595Z
47111,Macon,9487,0,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9487,100%,100% reported,edison,10,all,,5998,,,8096,1307,43,9,15,10,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:51:58Z,71.56108,R+72,Trump +72,republican,trumpd,71.56108,7504,69.2,6905,53.7,tennessee,2021-05-06T22:33:22.304595Z
47113,Madison,42950,30120,33,33,Released as a separate subtotal as first report of the night,100,42950,100%,100% reported,edison,10,unknown,,27329,,,23943,18390,327,83,74,48,35,23,1,26,15975,13819,154,41,47,28,22,16,0,18,2021-03-06T23:06:18Z,12.92899,R+13,Trump +13,republican,trumpd,12.92899,38120,15.4,40702,8.91,tennessee,2021-05-06T22:33:22.304595Z
47115,Marion,13256,0,17,17,Merged into voters' home precincts and released with cumulative results,100,13256,100%,100% reported,edison,10,all,,6153,,,9911,3177,93,16,29,20,3,3,0,4,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:53:16Z,50.79964,R+51,Trump +51,republican,trumpd,50.79964,10862,44.8,10409,22.28,tennessee,2021-05-06T22:33:22.304595Z
47117,Marshall,14878,0,9,9,Released as a separate subtotal as first report of the night,100,14878,100%,100% reported,edison,10,all,,8159,,,11043,3605,126,34,14,32,13,6,0,5,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:53:44Z,49.99328,R+50,Trump +50,republican,trumpd,49.99328,11455,46.5,10741,28.93,tennessee,2021-05-06T22:33:22.304595Z
47119,Maury,46657,28375,21,21,Released as a separate subtotal as first report of the night,100,46657,100%,100% reported,edison,10,all,,27483,,,31464,14418,486,93,71,57,25,10,6,27,19136,8886,227,40,28,30,11,5,0,12,2020-12-16T18:10:16Z,36.53471,R+37,Trump +37,republican,trumpd,36.53471,35369,38.9,33006,26.91,tennessee,2021-05-06T22:33:22.304595Z
47107,McMinn,22844,0,15,15,Released as a separate subtotal as first report of the night,100,22844,100%,100% reported,edison,10,all,,11950,,,18198,4361,183,29,33,22,4,5,1,8,0,0,0,0,0,0,0,0,0,0,2020-12-16T17:51:27Z,60.5717,R+61,Trump +61,republican,trumpd,60.5717,18755,59.6,17834,46.87,tennessee,2021-05-06T22:33:22.304595Z
47109,McNairy,11275,0,16,16,Other,100,11275,100%,100% reported,edison,10,unknown,,5879,,,9093,1943,56,93,22,15,33,15,0,5,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:11Z,63.41463,R+63,Trump +63,republican,trumpd,63.41463,10038,59.7,9802,44.58,tennessee,2021-05-06T22:33:22.304595Z
47121,Meigs,5532,0,6,6,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5532,100%,100% reported,edison,10,all,,3052,,,4467,1008,34,6,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:09:54Z,62.52711,R+63,Trump +63,republican,trumpd,62.52711,4320,57.5,3964,39.63,tennessee,2021-05-06T22:33:22.304595Z
