fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_hawkinsh,results_write_ins,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
26121,Muskegon,92444,47732,67,67,Merged into voters' home precincts and released with cumulative results,100,92444,100%,100% reported,edison,10,all,,16292,,,45643,45133,1219,134,269,9,37,29951,17061,494,82,123,0,21,2020-11-30T03:20:35Z,0.55169,D+0.55,Biden +0.55,democrat,bidenj,-0.55169,78723,-1.5,76163,-17.79,michigan,2021-05-08T21:24:14.670866Z
26123,Newaygo,27161,0,31,31,Merged into voters' home precincts and released with cumulative results,100,27161,100%,100% reported,edison,10,all,,3272,,,7873,18857,331,28,56,5,11,0,0,0,0,0,0,0,2020-11-30T03:20:50Z,40.44034,R+40,Trump +40,republican,trumpd,40.44034,22782,39.3,21478,17.36,michigan,2021-05-08T21:24:14.670866Z
26125,Oakland,770351,511088,516,516,Merged into voters' home precincts and released with cumulative results,100,770351,100%,100% reported,edison,10,unknown,,185030,,,434148,325971,7282,731,1746,142,331,338173,167317,3911,501,996,0,190,2021-03-07T03:49:32Z,14.04256,D+14,Biden +14,democrat,bidenj,-14.04256,668925,-8.1,651607,-8.06,michigan,2021-05-08T21:24:14.670866Z
26127,Oceana,14062,0,18,18,Merged into voters' home precincts and released with cumulative results,100,14062,100%,100% reported,edison,10,all,,1675,,,4944,8892,166,27,25,0,8,0,0,0,0,0,0,0,2020-11-30T03:21:23Z,28.07566,R+28,Trump +28,republican,trumpd,28.07566,11930,27.3,11450,10.27,michigan,2021-05-08T21:24:14.670866Z
26129,Ogemaw,11907,0,17,17,Other,100,11907,100%,100% reported,edison,10,all,,1680,,,3475,8253,134,11,26,0,8,0,0,0,0,0,0,0,2020-11-30T03:22:01Z,40.12766,R+40,Trump +40,republican,trumpd,40.12766,10440,36.4,10361,6.23,michigan,2021-05-08T21:24:14.670866Z
26131,Ontonagon,3804,0,12,12,Merged into voters' home precincts and released with cumulative results,100,3804,100%,100% reported,edison,10,all,,546,,,1391,2358,30,8,13,0,4,0,0,0,0,0,0,0,2020-11-30T03:22:15Z,25.42061,R+25,Trump +25,republican,trumpd,25.42061,3433,25.9,3539,9.04,michigan,2021-05-08T21:24:14.670866Z
26133,Osceola,12329,0,18,18,Merged into voters' home precincts and released with cumulative results,100,12329,100%,100% reported,edison,10,all,,1124,,,3214,8928,135,21,28,0,3,0,0,0,0,0,0,0,2020-11-30T03:22:26Z,46.34601,R+46,Trump +46,republican,trumpd,46.34601,10609,43.7,10278,21.02,michigan,2021-05-08T21:24:14.670866Z
26135,Oscoda,4874,0,7,7,Merged into voters' home precincts and released with cumulative results,100,4874,100%,100% reported,edison,10,all,,718,,,1342,3466,39,12,11,0,4,0,0,0,0,0,0,0,2020-11-30T03:22:41Z,43.57817,R+44,Trump +44,republican,trumpd,43.57817,4092,44,4042,16.11,michigan,2021-05-08T21:24:14.670866Z
26137,Otsego,14757,0,13,13,Merged into voters' home precincts and released with cumulative results,100,14757,100%,100% reported,edison,10,all,,2248,,,4743,9779,177,23,26,1,8,0,0,0,0,0,0,0,2020-11-30T03:22:54Z,34.12618,R+34,Trump +34,republican,trumpd,34.12618,12610,37.4,11855,19.65,michigan,2021-05-08T21:24:14.670866Z
26139,Ottawa,168713,0,109,109,Merged into voters' home precincts and released with cumulative results,100,168713,100%,100% reported,edison,10,all,,30199,,,64705,100913,2315,215,367,86,112,0,0,0,0,0,0,0,2020-11-30T03:23:17Z,21.4613,R+21,Trump +21,republican,trumpd,21.4613,143848,30.2,132312,34.33,michigan,2021-05-08T21:24:14.670866Z
