fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
01059,Franklin,12578,0,25,25,Released as a precinct as first report of the night,100,12578,100%,100% reported,edison,10,unknown,,653,,,10376,2086,106,10,0,0,0,0,2021-03-07T03:13:41Z,65.90873,R+66,Trump +66,republican,trumpd,65.90873,12040,60.4,10881,40.4,alabama,2021-04-30T10:30:20.008004Z
01061,Geneva,12545,0,28,28,Released separately AFTER election night,100,12545,100%,100% reported,edison,10,unknown,,507,,,10848,1595,90,12,0,0,0,0,2021-03-07T03:13:46Z,73.75847,R+74,Trump +74,republican,trumpd,73.75847,11758,72,11331,62.98,alabama,2021-04-30T10:30:20.008004Z
01063,Greene,4775,1561,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4775,100%,100% reported,edison,10,all,,590,,,875,3884,8,8,96,1465,0,0,2020-12-10T01:24:12Z,63.01571,D+63,Biden +63,democrat,bidenj,-63.01571,4880,-65.1,5343,-69.57,alabama,2021-04-30T10:30:20.008004Z
01065,Hale,7900,1474,15,15,None,100,7904,100%,100% reported,edison,10,unknown,,982,,,3192,4663,37,8,172,1291,8,3,2021-03-07T03:13:53Z,18.62025,D+19,Biden +19,democrat,bidenj,-18.62025,8040,-19.9,8647,-25.45,alabama,2021-04-30T10:30:20.008004Z
01067,Henry,9298,0,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9298,100%,100% reported,edison,10,all,,994,,,6607,2606,69,16,0,0,0,0,2020-12-10T01:24:44Z,43.03076,R+43,Trump +43,republican,trumpd,43.03076,8072,41.4,8766,29.03,alabama,2021-04-30T10:30:20.008004Z
01069,Houston,46173,0,28,28,Released as a precinct as first report of the night,100,46173,100%,100% reported,edison,10,unknown,,3363,,,32618,12917,533,105,0,0,0,0,2021-03-07T03:13:58Z,42.66779,R+43,Trump +43,republican,trumpd,42.66779,42639,47.1,41984,40.26,alabama,2021-04-30T10:30:20.008004Z
01071,Jackson,23636,0,31,31,Released as a precinct as first report of the night,100,23636,100%,100% reported,edison,10,all,,1483,,,19670,3717,208,41,0,0,0,0,2020-12-10T01:25:17Z,67.4945,R+67,Trump +67,republican,trumpd,67.4945,20984,61.9,20632,41.77,alabama,2021-04-30T10:30:20.008004Z
01073,Jefferson,325848,0,173,173,Released as a precinct as first report of the night,100,325848,100%,100% reported,edison,10,unknown,,15352,,,138843,181688,3578,1739,0,0,0,0,2021-03-07T03:14:05Z,13.14877,D+13,Biden +13,democrat,bidenj,-13.14877,304191,-7.3,304523,-5.97,alabama,2021-04-30T10:30:20.008004Z
01075,Lamar,7193,474,26,26,Released as a precinct as first report of the night,100,7193,100%,100% reported,edison,10,unknown,,790,,,6174,978,33,8,350,122,1,1,2021-03-07T03:14:12Z,72.2369,R+72,Trump +72,republican,trumpd,72.2369,6966,68.7,7176,53.11,alabama,2021-04-30T10:30:20.008004Z
01077,Lauderdale,44339,0,32,32,Released as a precinct as first report of the night,100,44339,100%,100% reported,edison,10,all,,2931,,,31721,11915,537,166,0,0,0,0,2020-12-10T01:26:07Z,44.66948,R+45,Trump +45,republican,trumpd,44.66948,39525,45.4,37032,30.78,alabama,2021-04-30T10:30:20.008004Z
01079,Lawrence,16031,866,30,30,Released as a precinct in the middle of the night,100,16031,100%,100% reported,edison,10,unknown,,725,,,12322,3562,126,21,437,419,8,2,2021-03-07T03:14:20Z,54.64413,R+55,Trump +55,republican,trumpd,54.64413,14829,48.6,14148,26.89,alabama,2021-04-30T10:30:20.008004Z
01081,Lee,71449,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,71449,100%,100% reported,edison,10,all,,4032,,,42221,27860,1019,349,0,0,0,0,2020-12-10T01:26:43Z,20.09965,R+20,Trump +20,republican,trumpd,20.09965,59191,22.6,54496,19.84,alabama,2021-04-30T10:30:20.008004Z
01083,Limestone,49235,0,26,26,Released as a precinct as first report of the night,100,49235,100%,100% reported,edison,10,all,,2880,,,34640,13672,748,175,0,0,0,0,2020-12-10T01:27:01Z,42.58759,R+43,Trump +43,republican,trumpd,42.58759,40294,48.6,35540,43.52,alabama,2021-04-30T10:30:20.008004Z
