fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42077,Lehigh,184713,0,159,159,Merged into voters' home precincts AFTER election night,100,184713,100%,100% reported,edison,10,some,,10606,,,98288,84259,2166,0,0,0,0,0,2020-12-08T22:05:41Z,7.59503,D+8,Biden +8,democrat,bidenj,-7.59503,162733,-4.7,147002,-7.76,pennsylvania,2021-04-30T02:52:37.309689Z
42079,Luzerne,153321,56428,186,186,None,100,153321,100%,100% reported,edison,10,unknown,,10448,,,64873,86929,1519,0,38344,17582,502,0,2021-03-07T03:53:41Z,14.3855,R+14,Trump +14,republican,trumpd,14.3855,135901,19.3,124439,-4.81,pennsylvania,2021-04-30T02:52:37.309689Z
42081,Lycoming,59254,0,81,81,Merged into voters' home precincts and released with cumulative results,100,59254,100%,100% reported,edison,10,some,,3546,,,16971,41462,821,,0,0,0,,2020-11-24T13:23:07Z,41.33223,R+41,Trump +41,republican,trumpd,41.33223,51131,44.2,46493,33.24,pennsylvania,2021-04-30T02:52:37.309689Z
42083,McKean,19466,0,42,42,Released separately AFTER election night,100,19466,100%,100% reported,edison,10,unknown,,1194,,,5098,14083,285,,0,0,0,,2020-11-24T13:23:08Z,46.1574,R+46,Trump +46,republican,trumpd,46.1574,16464,46.2,15108,28.12,pennsylvania,2021-04-30T02:52:37.309689Z
42085,Mercer,57954,0,90,90,Released separately AFTER election night,100,57954,100%,100% reported,edison,10,unknown,,4235,,,21067,36143,744,,0,0,0,,2020-11-24T13:23:09Z,26.01374,R+26,Trump +26,republican,trumpd,26.01374,52839,24.2,50863,3.33,pennsylvania,2021-04-30T02:52:37.309689Z
42087,Mifflin,21502,0,26,26,Merged into voters' home precincts and released with cumulative results,100,21502,100%,100% reported,edison,10,unknown,,1134,,,4603,16670,229,,0,0,0,,2020-12-08T22:34:42Z,56.12036,R+56,Trump +56,republican,trumpd,56.12036,18721,54.6,16371,46.83,pennsylvania,2021-04-30T02:52:37.309689Z
42089,Monroe,83829,0,52,52,Merged into voters' home precincts and released with cumulative results,100,83829,100%,100% reported,edison,10,some,,5680,,,44060,38726,1043,0,0,0,0,0,2021-01-28T17:26:38Z,6.36295,D+6,Biden +6,democrat,bidenj,-6.36295,70008,-0.8,62917,-13.28,pennsylvania,2021-04-30T02:52:37.309689Z
42091,Montgomery,510157,238122,426,426,Merged into voters' home precincts and released with cumulative results,100,510157,100%,100% reported,edison,10,unknown,,32850,,,319511,185460,5186,0,196801,39490,1831,0,2021-03-07T03:53:23Z,26.27642,D+26,Biden +26,democrat,bidenj,-26.27642,438652,-21.3,412200,-14.31,pennsylvania,2021-04-30T02:52:37.309689Z
42093,Montour,9817,0,15,15,Merged into voters' home precincts and released with cumulative results,100,9817,100%,100% reported,edison,10,none,,1008,,,3771,5844,156,46,0,0,0,0,2020-12-08T22:11:52Z,21.11643,R+21,Trump +21,republican,trumpd,21.11643,8556,28.4,7831,20.42,pennsylvania,2021-04-30T02:52:37.309689Z
42095,Northampton,171399,73628,154,154,Merged into voters' home precincts AFTER election night,100,171399,100%,100% reported,edison,10,some,,9456,,,85087,83854,2001,457,53441,19182,761,244,2020-12-08T22:06:39Z,0.71937,D+0.72,Biden +0.72,democrat,bidenj,-0.71937,144569,3.8,130735,-4.71,pennsylvania,2021-04-30T02:52:37.309689Z
42097,Northumberland,42283,0,74,74,None,100,42283,100%,100% reported,edison,10,unknown,,2466,,,12677,28952,654,0,0,0,0,0,2021-03-07T03:54:09Z,38.49065,R+38,Trump +38,republican,trumpd,38.49065,36907,42.4,33212,19.41,pennsylvania,2021-04-30T02:52:37.309689Z
42099,Perry,24652,646,31,31,Merged into voters' home precincts and released with cumulative results,100,24652,100%,100% reported,edison,10,some,,1426,,,5950,18293,409,,378,258,10,,2020-11-24T13:23:16Z,50.06896,R+50,Trump +50,republican,trumpd,50.06896,21371,51.4,19128,38.87,pennsylvania,2021-04-30T02:52:37.309689Z
42101,Philadelphia,741377,75097,1703,1703,Merged into voters' home precincts and released with cumulative results,100,741377,100%,100% reported,edison,10,all,,23992,,,603790,132740,4847,0,70573,4279,245,0,2020-12-08T22:03:46Z,63.53717,D+64,Biden +64,democrat,bidenj,-63.53717,709618,-67,690327,-71.32,pennsylvania,2021-04-30T02:52:37.309689Z
42103,Pike,32554,13058,18,18,None,100,32554,100%,100% reported,edison,10,some,,3176,,,13019,19213,322,0,8500,4421,137,0,2020-12-08T22:09:10Z,19.02685,R+19,Trump +19,republican,trumpd,19.02685,26303,25.8,23279,11.07,pennsylvania,2021-04-30T02:52:37.309689Z
42105,Potter,9064,0,30,30,Merged into voters' home precincts and released with cumulative results,100,9064,100%,100% reported,edison,10,unknown,,790,,,1726,7239,99,,0,0,0,,2020-11-24T13:21:41Z,60.82304,R+61,Trump +61,republican,trumpd,60.82304,7864,62.9,7242,46.04,pennsylvania,2021-04-30T02:52:37.309689Z
42107,Schuylkill,70603,0,125,125,Merged into voters' home precincts and released with cumulative results,100,70603,100%,100% reported,edison,10,unknown,,5456,,,20727,48871,1005,0,0,0,0,0,2021-03-07T03:54:13Z,39.86233,R+40,Trump +40,republican,trumpd,39.86233,63385,43,57727,13.39,pennsylvania,2021-04-30T02:52:37.309689Z
42109,Snyder,19140,0,25,25,Merged into voters' home precincts and released with cumulative results,100,19140,100%,100% reported,edison,10,some,,1165,,,4910,13983,247,,0,0,0,,2020-11-24T13:21:45Z,47.40334,R+47,Trump +47,republican,trumpd,47.40334,16486,46.8,15002,35.9,pennsylvania,2021-04-30T02:52:37.309689Z
