fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17117,Macoupin,24070,0,59,61,Merged into voters' home precincts and released with cumulative results,98,24534,98%,98% reported,edison,4,unknown,,3614,,,7365,16153,350,110,24,20,48,0,0,0,0,0,0,0,2020-12-08T16:27:45Z,36.51018,R+37,Trump +37,republican,trumpd,36.51018,22391,34.1,21010,7.05,illinois,2021-01-04T11:36:42.359396Z
17119,Madison,137558,0,225,225,None,100,129785,100%,100% reported,edison,2,some,,57323,,,57836,76031,2169,710,206,183,423,0,0,0,0,0,0,0,2020-12-02T15:50:24Z,13.22715,R+13,Trump +13,republican,trumpd,13.22715,130179,15.3,122473,1.38,illinois,2021-01-04T11:36:42.359396Z
17121,Marion,17492,0,43,48,Merged into voters' home precincts and released with cumulative results,93,18728,93%,93% reported,edison,4,some,,4072,,,4524,12678,163,74,9,10,34,0,0,0,0,0,0,0,2020-12-08T17:40:07Z,46.6156,R+47,Trump +47,republican,trumpd,46.6156,17098,43.8,15764,19.18,illinois,2021-01-04T11:36:42.359396Z
17123,Marshall,6345,0,13,14,Merged into voters' home precincts and released with cumulative results,97,6557,97%,97% reported,edison,2,unknown,,1712,,,2005,4197,94,27,6,5,11,0,0,0,0,0,0,0,2020-12-04T19:41:54Z,34.54689,R+35,Trump +35,republican,trumpd,34.54689,5984,33.4,5850,14.27,illinois,2021-01-04T11:36:42.359396Z
17125,Mason,6766,2476,20,21,Merged into voters' home precincts and released with cumulative results,100,2476,100%,100% reported,edison,6,unknown,,1229,,,1985,4654,78,31,7,11,0,1133,1293,24,15,5,6,0,2020-12-04T19:42:22Z,39.44724,R+39,Trump +39,republican,trumpd,39.44724,6493,31.5,6272,6.35,illinois,2021-01-04T11:36:42.359396Z
17127,Massac,6818,0,16,17,Merged into voters' home precincts and released with cumulative results,100,6803,100%,100% reported,edison,6,all,,1360,,,1725,4997,65,14,7,5,5,0,0,0,0,0,0,0,2020-12-08T17:40:24Z,47.99061,R+48,Trump +48,republican,trumpd,47.99061,6697,49.1,6495,33.66,illinois,2021-01-04T11:36:42.359396Z
17109,McDonough,12285,0,26,31,Merged into voters' home precincts and released with cumulative results,94,13084,94%,94% reported,edison,2,unknown,,4725,,,4992,7027,173,54,19,20,0,0,0,0,0,0,0,0,2020-12-08T15:43:18Z,16.56492,R+17,Trump +17,republican,trumpd,16.56492,13144,11.5,12454,1.45,illinois,2021-01-04T11:36:42.359396Z
17111,McHenry,164578,0,212,212,Merged into voters' home precincts and released with cumulative results,100,159365,100%,100% reported,edison,4,unknown,,16104,,,78154,82260,2176,781,298,205,704,0,0,0,0,0,0,0,2020-12-08T16:09:09Z,2.49487,R+2,Trump +2,republican,trumpd,2.49487,143930,7.5,133844,8.82,illinois,2021-01-04T11:36:42.359396Z
17113,McLean,87389,0,68,70,None,98,89415,98%,98% reported,edison,2,unknown,,16888,,,43933,40502,1624,502,283,156,389,0,0,0,0,0,0,0,2020-12-08T16:29:46Z,3.92612,D+4,Biden +4,democrat,bidenj,-3.92612,81324,1.3,73382,10.99,illinois,2021-01-04T11:36:42.359396Z
17129,Menard,6954,3081,13,14,Merged into voters' home precincts and released with cumulative results,100,6516,100%,100% reported,edison,4,some,,2304,,,2022,4764,95,33,5,9,26,1315,1696,39,12,4,4,11,2020-11-24T13:21:55Z,39.43054,R+39,Trump +39,republican,trumpd,39.43054,6515,37.1,6151,30.04,illinois,2021-01-04T11:36:42.359396Z
17131,Mercer,8914,3242,22,24,"As a subtotal in the FIRST cumulative report, along with regular precincts",96,9326,96%,96% reported,edison,4,unknown,,1397,,,3280,5418,134,48,5,8,21,1745,1429,41,14,1,4,8,2020-12-04T19:52:47Z,23.98474,R+24,Trump +24,republican,trumpd,23.98474,8525,20.4,8534,-7.39,illinois,2021-01-04T11:36:42.359396Z
17133,Monroe,21206,9432,36,37,Merged into voters' home precincts and released with cumulative results,100,19258,100%,100% reported,edison,4,some,,9262,,,6569,14142,309,83,28,17,58,3332,5853,135,46,16,14,36,2020-12-08T16:19:33Z,35.71159,R+36,Trump +36,republican,trumpd,35.71159,19354,36.7,17432,26.81,illinois,2021-01-04T11:36:42.359396Z
17135,Montgomery,13761,0,36,38,Merged into voters' home precincts and released with cumulative results,97,14217,97%,97% reported,edison,2,unknown,,3024,,,3905,9544,204,53,14,7,34,0,0,0,0,0,0,0,2020-12-08T16:28:15Z,40.97813,R+41,Trump +41,republican,trumpd,40.97813,12978,39.5,12133,14.16,illinois,2021-01-04T11:36:42.359396Z
17137,Morgan,15333,0,37,40,Merged into voters' home precincts and released with cumulative results,95,16167,95%,95% reported,edison,2,unknown,,2656,,,5076,9950,198,55,15,15,24,0,0,0,0,0,0,0,2020-12-04T19:43:20Z,31.78765,R+32,Trump +32,republican,trumpd,31.78765,14800,29.6,14096,15.37,illinois,2021-01-04T11:36:42.359396Z
17139,Moultrie,6744,0,13,14,Merged into voters' home precincts and released with cumulative results,98,6879,98%,98% reported,edison,4,all,,2046,,,1662,4964,87,24,4,3,0,0,0,0,0,0,0,0,2020-12-08T17:40:37Z,48.96204,R+49,Trump +49,republican,trumpd,48.96204,6283,47.3,6057,27.08,illinois,2021-01-04T11:36:42.359396Z
17141,Ogle,26340,0,51,52,Merged into voters' home precincts and released with cumulative results,100,26350,100%,100% reported,edison,2,unknown,,4760,,,9428,16248,389,143,41,23,68,0,0,0,0,0,0,0,2020-12-08T17:45:21Z,25.89218,R+26,Trump +26,republican,trumpd,25.89218,24193,26,23367,16.72,illinois,2021-01-04T11:36:42.359396Z
17143,Peoria,83973,53195,157,169,Merged into voters' home precincts and released with cumulative results,100,82264,100%,100% reported,edison,6,all,,31962,,,43578,38252,1309,507,216,105,6,32623,19491,610,279,123,69,0,2020-12-04T19:53:23Z,6.34251,D+6,Biden +6,democrat,bidenj,-6.34251,79102,-3.1,78411,-4.38,illinois,2021-01-04T11:36:42.359396Z
17145,Perry,10071,0,25,27,Released as a precinct at the end of tabulation,93,10817,93%,93% reported,edison,2,some,,2477,,,2612,7313,69,52,3,4,18,0,0,0,0,0,0,0,2020-12-08T16:19:53Z,46.67858,R+47,Trump +47,republican,trumpd,46.67858,9874,44.5,9549,17.68,illinois,2021-01-04T11:36:42.359396Z
17147,Piatt,9851,0,16,16,Merged into voters' home precincts AFTER election night,100,9044,100%,100% reported,edison,4,unknown,,1656,,,3329,6248,168,35,28,14,29,0,0,0,0,0,0,0,2020-12-08T16:28:32Z,29.63151,R+30,Trump +30,republican,trumpd,29.63151,9060,33,8707,26.68,illinois,2021-01-04T11:36:42.359396Z
17149,Pike,7965,0,29,31,Other,100,7690,100%,100% reported,edison,6,all,,1424,,,1484,6332,110,15,4,4,16,0,0,0,0,0,0,0,2020-12-04T19:44:44Z,60.86629,R+61,Trump +61,republican,trumpd,60.86629,7530,57.6,7286,35.44,illinois,2021-01-04T11:36:42.359396Z
17151,Pope,2175,0,5,6,Merged into voters' home precincts and released with cumulative results,91,2386,91%,91% reported,edison,4,some,,758,,,433,1722,16,4,0,0,0,0,0,0,0,0,0,0,2020-12-08T17:40:47Z,59.26437,R+59,Trump +59,republican,trumpd,59.26437,2142,60.8,2222,38.79,illinois,2021-01-04T11:36:42.359396Z
17153,Pulaski,2631,0,10,11,None,81,3260,81%,81% reported,edison,2,unknown,,1053,,,891,1699,23,7,4,0,7,0,0,0,0,0,0,0,2020-11-24T13:22:24Z,30.71076,R+31,Trump +31,republican,trumpd,30.71076,2735,26.1,3003,5.83,illinois,2021-01-04T11:36:42.359396Z
17155,Putnam,3390,0,8,8,Merged into voters' home precincts and released with cumulative results,100,3345,100%,100% reported,edison,6,all,,926,,,1338,1993,33,17,7,2,0,0,0,0,0,0,0,0,2020-12-08T17:45:30Z,19.32153,R+19,Trump +19,republican,trumpd,19.32153,3112,19.9,3135,-1.82,illinois,2021-01-04T11:36:42.359396Z
17157,Randolph,14910,0,35,37,None,96,15565,96%,96% reported,edison,2,unknown,,4659,,,3592,11076,132,69,17,5,19,0,0,0,0,0,0,0,2020-12-08T16:20:23Z,50.1945,R+50,Trump +50,republican,trumpd,50.1945,14194,46.4,14392,17.59,illinois,2021-01-04T11:36:42.359396Z
17159,Richland,8063,0,21,21,Merged into voters' home precincts and released with cumulative results,100,7710,100%,100% reported,edison,4,all,,1760,,,1830,6089,100,27,8,9,0,0,0,0,0,0,0,0,2020-12-08T17:41:11Z,52.82153,R+53,Trump +53,republican,trumpd,52.82153,7694,54,7282,32.88,illinois,2021-01-04T11:36:42.359396Z
17161,Rock Island,66817,0,120,120,None,100,64602,100%,100% reported,edison,2,unknown,,46442,,,36691,28603,959,310,107,88,59,0,0,0,0,0,0,0,2020-12-04T19:53:45Z,12.1047,D+12,Biden +12,democrat,bidenj,-12.1047,63994,-8.3,65016,-21.88,illinois,2021-01-04T11:36:42.359396Z
17165,Saline,11089,0,25,28,Merged into voters' home precincts and released with cumulative results,89,12471,89%,89% reported,edison,4,some,,4206,,,2789,8103,124,35,4,11,23,0,0,0,0,0,0,0,2020-12-08T17:41:21Z,47.92136,R+48,Trump +48,republican,trumpd,47.92136,11384,50.1,10720,28.96,illinois,2021-01-04T11:36:42.359396Z
