fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
30049,Lewis and Clark,42273,0,33,33,Released as a separate subtotal as first report of the night,99,42509,99%,99% reported,edison,10,unknown,,29778,,,21409,19743,1113,8,0,0,0,0,2021-01-15T20:23:19Z,3.94105,R+4,Trump +4,republican,trumpd,3.94105,35296,6.8,33318,3.55,montana,2021-05-06T23:29:45.969757Z
30051,Liberty,1083,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1088,100%,100% reported,edison,10,unknown,,763,,,821,249,13,0,0,0,0,0,2020-11-24T13:22:44Z,52.81625,R+53,Trump +53,republican,trumpd,52.81625,961,51.2,998,44.59,montana,2021-05-06T23:29:45.969757Z
30053,Lincoln,11749,0,14,14,Merged into voters' home precincts and released with cumulative results,100,11747,100%,100% reported,edison,10,unknown,,6806,,,8672,2835,240,2,0,0,0,0,2021-01-15T20:23:39Z,49.68082,R+50,Trump +50,republican,trumpd,49.68082,9330,50.2,8890,39.43,montana,2021-05-06T23:29:45.969757Z
30057,Madison,6087,0,8,8,Merged into voters' home precincts and released with cumulative results,99,6118,99%,99% reported,edison,10,unknown,,2922,,,4191,1771,125,0,0,0,0,0,2021-01-15T20:24:02Z,39.75686,R+40,Trump +40,republican,trumpd,39.75686,4743,44.6,4532,40.62,montana,2021-05-06T23:29:45.969757Z
30055,McCone,1128,0,3,3,Merged into voters' home precincts and released with cumulative results,100,1128,100%,100% reported,edison,10,unknown,,688,,,956,155,17,,0,0,0,,2020-11-24T13:22:46Z,71.01064,R+71,Trump +71,republican,trumpd,71.01064,1095,64.7,993,52.57,montana,2021-05-06T23:29:45.969757Z
30059,Meagher,1110,0,1,1,Other,99,1118,99%,99% reported,edison,10,unknown,,978,,,833,258,19,0,0,0,0,0,2020-11-24T13:22:48Z,51.8018,R+52,Trump +52,republican,trumpd,51.8018,977,54.9,972,41.26,montana,2021-05-06T23:29:45.969757Z
30061,Mineral,2563,0,6,6,Released as a separate subtotal as first report of the night,100,2563,100%,100% reported,edison,10,unknown,,1507,,,1828,686,49,0,0,0,0,0,2020-12-01T14:01:25Z,44.55716,R+45,Trump +45,republican,trumpd,44.55716,2012,40.3,2021,25.53,montana,2021-05-06T23:29:45.969757Z
30063,Missoula,71499,0,52,52,Merged into voters' home precincts and released with cumulative results,99,71986,99%,99% reported,edison,10,unknown,,59576,,,26347,43357,1791,4,0,0,0,0,2021-01-15T20:24:30Z,23.79054,D+24,Biden +24,democrat,bidenj,-23.79054,60722,-15.3,57232,-17.77,montana,2021-05-06T23:29:45.969757Z
30065,Musselshell,2881,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2881,100%,100% reported,edison,10,some,,1734,,,2423,413,45,0,0,0,0,0,2020-11-24T13:22:50Z,69.76744,R+70,Trump +70,republican,trumpd,69.76744,2441,67,2407,55.71,montana,2021-05-06T23:29:45.969757Z
30067,Park,11569,0,11,11,None,100,11618,100%,100% reported,edison,10,unknown,,6699,,,6025,5280,261,3,0,0,0,0,2021-01-15T20:25:08Z,6.43962,R+6,Trump +6,republican,trumpd,6.43962,9359,14.8,8768,10.56,montana,2021-05-06T23:29:45.969757Z
30069,Petroleum,348,0,1,1,None,99,351,99%,99% reported,edison,10,unknown,,189,,,298,39,11,0,0,0,0,0,2021-01-15T20:25:22Z,74.42529,R+74,Trump +74,republican,trumpd,74.42529,322,77,298,64.09,montana,2021-05-06T23:29:45.969757Z
30071,Phillips,2382,0,2,2,Merged into voters' home precincts and released with cumulative results,100,2386,100%,100% reported,edison,10,unknown,,2000,,,1936,416,30,0,0,0,0,0,2021-01-15T20:25:31Z,63.81192,R+64,Trump +64,republican,trumpd,63.81192,2171,64.7,2228,54.62,montana,2021-05-06T23:29:45.969757Z
30073,Pondera,2995,0,8,8,Released as a separate subtotal at the end of tabulation,100,3005,100%,100% reported,edison,10,unknown,,2141,,,2031,903,61,0,0,0,0,0,2020-12-01T14:07:00Z,37.66277,R+38,Trump +38,republican,trumpd,37.66277,2723,39,2719,25.67,montana,2021-05-06T23:29:45.969757Z
30075,Powder River,1136,0,7,7,Merged into voters' home precincts and released with cumulative results,100,1137,100%,100% reported,edison,10,unknown,,638,,,970,154,12,0,0,0,0,0,2020-11-24T13:22:54Z,71.83099,R+72,Trump +72,republican,trumpd,71.83099,1053,71.9,1027,64.56,montana,2021-05-06T23:29:45.969757Z
30077,Powell,3179,0,13,13,Merged into voters' home precincts and released with cumulative results,99,3195,99%,99% reported,edison,10,unknown,,1578,,,2355,752,72,0,0,0,0,0,2021-03-06T23:15:44Z,50.42466,R+50,Trump +50,republican,trumpd,50.42466,2794,52.9,2777,33.06,montana,2021-05-06T23:29:45.969757Z
30079,Prairie,744,0,4,4,Merged into voters' home precincts and released with cumulative results,100,747,100%,100% reported,edison,10,unknown,,480,,,603,126,15,0,0,0,0,0,2020-11-24T13:22:57Z,64.1129,R+64,Trump +64,republican,trumpd,64.1129,689,66.2,703,50.21,montana,2021-05-06T23:29:45.969757Z
30081,Ravalli,28507,0,24,24,Released as a separate subtotal as first report of the night,100,28574,100%,100% reported,edison,10,unknown,,16965,,,19114,8763,630,0,0,0,0,0,2020-12-01T14:03:11Z,36.31038,R+36,Trump +36,republican,trumpd,36.31038,22556,38.1,22212,31.61,montana,2021-05-06T23:29:45.969757Z
30083,Richland,5798,0,13,13,Other,100,5798,100%,100% reported,edison,10,all,,2582,,,4800,875,123,0,0,0,0,0,2020-12-01T14:03:29Z,67.69576,R+68,Trump +68,republican,trumpd,67.69576,4871,66.5,4648,53.96,montana,2021-05-06T23:29:45.969757Z
30085,Roosevelt,4017,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4033,100%,100% reported,edison,10,unknown,,2086,,,1996,1910,111,0,0,0,0,0,2021-01-15T20:31:28Z,2.1409,R+2,Trump +2,republican,trumpd,2.1409,3652,6.5,3672,-15.58,montana,2021-05-06T23:29:45.969757Z
30087,Rosebud,3773,0,12,12,Merged into voters' home precincts AFTER election night,100,3784,100%,100% reported,edison,10,unknown,,2216,,,2486,1199,88,0,0,0,0,0,2021-03-06T23:15:52Z,34.11079,R+34,Trump +34,republican,trumpd,34.11079,3453,36.7,3523,16.52,montana,2021-05-06T23:29:45.969757Z
30089,Sanders,7623,0,9,9,Merged into voters' home precincts and released with cumulative results,100,7652,100%,100% reported,edison,10,all,,5891,,,5660,1820,142,1,0,0,0,0,2021-01-15T20:31:41Z,50.37387,R+50,Trump +50,republican,trumpd,50.37387,5953,51.5,5901,38.3,montana,2021-05-06T23:29:45.969757Z
30091,Sheridan,2030,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2030,100%,100% reported,edison,10,unknown,,1792,,,1403,574,53,0,0,0,0,0,2020-12-01T14:04:23Z,40.83744,R+41,Trump +41,republican,trumpd,40.83744,1835,41.6,1928,28.11,montana,2021-05-06T23:29:45.969757Z
30093,Silver Bow,18658,0,31,31,Merged into voters' home precincts AFTER election night,99,18827,99%,99% reported,edison,10,unknown,,14293,,,7745,10392,521,0,0,0,0,0,2021-01-15T20:31:57Z,14.18694,D+14,Biden +14,democrat,bidenj,-14.18694,16452,-13.6,16756,-32.39,montana,2021-05-06T23:29:45.969757Z
30095,Stillwater,5724,0,8,8,Released as a separate subtotal at the end of tabulation,100,5744,100%,100% reported,edison,10,some,,3435,,,4462,1156,106,0,0,0,0,0,2021-01-15T20:32:07Z,57.75681,R+58,Trump +58,republican,trumpd,57.75681,4873,56.5,4702,44.43,montana,2021-05-06T23:29:45.969757Z
30097,Sweet Grass,2446,0,5,5,Released as a separate subtotal as first report of the night,99,2459,99%,99% reported,edison,10,some,,1573,,,1840,549,57,0,0,0,0,0,2020-11-24T13:23:04Z,52.78005,R+53,Trump +53,republican,trumpd,52.78005,2107,56.6,2117,52.86,montana,2021-05-06T23:29:45.969757Z
30099,Teton,3679,0,5,5,Merged into voters' home precincts and released with cumulative results,99,3706,99%,99% reported,edison,10,unknown,,2734,,,2608,1007,64,0,0,0,0,0,2021-01-15T20:32:24Z,43.51726,R+44,Trump +44,republican,trumpd,43.51726,3188,42.7,3281,31.42,montana,2021-05-06T23:29:45.969757Z
30101,Toole,2119,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2123,100%,100% reported,edison,10,unknown,,1491,,,1596,467,56,0,0,0,0,0,2021-01-15T20:32:31Z,53.27985,R+53,Trump +53,republican,trumpd,53.27985,2037,53.8,2102,40.82,montana,2021-05-06T23:29:45.969757Z
30103,Treasure,460,0,1,1,Merged into voters' home precincts and released with cumulative results,99,464,99%,99% reported,edison,10,unknown,,267,,,373,78,9,,0,0,0,,2020-12-01T14:05:31Z,64.13043,R+64,Trump +64,republican,trumpd,64.13043,443,65.9,455,45.05,montana,2021-05-06T23:29:45.969757Z
30105,Valley,4261,0,3,3,Released as a separate subtotal as first report of the night,100,4272,100%,100% reported,edison,10,unknown,,3726,,,3135,1030,96,0,0,0,0,0,2021-01-15T20:32:39Z,49.40155,R+49,Trump +49,republican,trumpd,49.40155,3894,46.5,3859,24.67,montana,2021-05-06T23:29:45.969757Z
30107,Wheatland,1068,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1068,100%,100% reported,edison,10,some,,667,,,823,225,20,0,0,0,0,0,2020-11-24T13:23:08Z,55.99251,R+56,Trump +56,republican,trumpd,55.99251,946,55.3,992,42.44,montana,2021-05-06T23:29:45.969757Z
30109,Wibaux,598,0,1,1,Merged into voters' home precincts and released with cumulative results,100,598,100%,100% reported,edison,10,unknown,,240,,,516,77,5,0,0,0,0,0,2020-11-24T13:23:08Z,73.41137,R+73,Trump +73,republican,trumpd,73.41137,541,75.4,544,59.38,montana,2021-05-06T23:29:45.969757Z
30111,Yellowstone,83821,0,44,44,Merged into voters' home precincts and released with cumulative results,100,84109,100%,100% reported,edison,10,unknown,,89706,,,50772,30679,2370,0,0,0,0,0,2020-12-01T14:05:52Z,23.97132,R+24,Trump +24,republican,trumpd,23.97132,70486,26.6,68807,20.49,montana,2021-05-06T23:29:45.969757Z
