fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36039,Greene,25137,0,52,52,Merged into voters' home precincts AFTER election night,100,25194,100%,100% reported,edison,10,all,,,,,10346,14271,305,121,91,3,0,0,0,0,0,0,2020-12-15T14:15:18Z,15.61443,R+16,Trump +16,republican,trumpd,15.61443,22050,25.7,20668,10.37,new-york,2021-04-29T12:39:28.156787Z
36041,Hamilton,3460,0,11,11,Merged into voters' home precincts AFTER election night,100,3460,100%,100% reported,edison,10,unknown,,,,,1178,2225,41,7,8,1,0,0,0,0,0,0,2020-12-04T16:23:28Z,30.26012,R+30,Trump +30,republican,trumpd,30.26012,3225,34.6,3113,25.83,new-york,2021-04-29T12:39:28.156787Z
36043,Herkimer,29322,0,59,59,Merged into voters' home precincts AFTER election night,100,29319,100%,100% reported,edison,10,unknown,,,,,9939,18871,298,98,111,5,0,0,0,0,0,0,2021-04-02T12:41:34Z,30.46177,R+30,Trump +30,republican,trumpd,30.46177,26255,32.8,25040,8.02,new-york,2021-04-29T12:39:28.156787Z
36045,Jefferson,43855,0,69,69,Merged into voters' home precincts AFTER election night,100,43848,100%,100% reported,edison,10,all,,,,,17307,25629,537,186,189,7,0,0,0,0,0,0,2020-12-15T14:15:43Z,18.97617,R+19,Trump +19,republican,trumpd,18.97617,38236,20.8,35708,2.86,new-york,2021-04-29T12:39:28.156787Z
36049,Lewis,12939,0,36,36,Merged into voters' home precincts AFTER election night,100,12944,100%,100% reported,edison,10,all,,,,,3823,8890,126,46,47,7,0,0,0,0,0,0,2021-04-02T13:17:34Z,39.16068,R+39,Trump +39,republican,trumpd,39.16068,11325,37.6,10522,8.81,new-york,2021-04-29T12:39:28.156787Z
36051,Livingston,31401,0,40,40,Merged into voters' home precincts AFTER election night,100,31401,100%,100% reported,edison,10,unknown,,,,,12477,18182,460,128,140,14,0,0,0,0,0,0,2020-12-04T16:41:26Z,18.16821,R+18,Trump +18,republican,trumpd,18.16821,30031,22,26770,10.25,new-york,2021-04-29T12:39:28.156787Z
36053,Madison,34035,0,52,52,Merged into voters' home precincts AFTER election night,100,34038,100%,100% reported,edison,10,some,,,,,14805,18409,474,185,153,9,0,0,0,0,0,0,2021-04-02T12:45:13Z,10.5891,R+11,Trump +11,republican,trumpd,10.5891,30064,14.2,28094,-0.89,new-york,2021-04-29T12:39:28.156787Z
36061,Manhattan,695263,0,1183,1183,Merged into voters' home precincts AFTER election night,100,694904,100%,100% reported,edison,10,all,,,,,603040,85185,3329,2694,656,359,0,0,0,0,0,0,2020-12-15T14:32:08Z,74.48333,D+74,Biden +74,democrat,bidenj,-74.48333,668940,-76.9,599747,-68.82,new-york,2021-04-29T12:39:28.156787Z
36055,Monroe,379864,102272,827,827,Merged into voters' home precincts AFTER election night,100,380983,100%,100% reported,edison,10,all,,,,,225746,145661,4865,1529,1785,278,77533,22295,1127,513,526,278,2020-12-15T14:16:51Z,21.08255,D+21,Biden +21,democrat,bidenj,-21.08255,347790,-15,333813,-18.02,new-york,2021-04-29T12:39:28.156787Z
36057,Montgomery,21134,0,19,19,Merged into voters' home precincts AFTER election night,100,21134,100%,100% reported,edison,10,all,,,,,7977,12745,242,87,79,4,0,0,0,0,0,0,2020-12-15T14:17:00Z,22.5608,R+23,Trump +23,republican,trumpd,22.5608,19054,24.7,18186,4.62,new-york,2021-04-29T12:39:28.156787Z
