fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
29053,Cooper,8710,1386,11,11,Released as a precinct as first report of the night,100,8710,100%,100% reported,edison,6,unknown,,981,,,6272,2249,139,24,6,20,759,603,17,4,0,3,2020-11-24T13:22:42Z,46.18829,R+46,Trump +46,republican,trumpd,46.18829,7986,46.2,7511,32.13,missouri,2020-12-09T08:27:51.293878Z
29055,Crawford,10973,0,9,9,Released separately AFTER election night,100,10393,100%,100% reported,edison,2,unknown,,1146,,,8725,2113,102,17,16,,0,0,0,0,0,,2020-11-24T13:22:43Z,60.25699,R+60,Trump +60,republican,trumpd,60.25699,9920,59.5,9579,36.36,missouri,2020-12-09T08:27:51.293878Z
29057,Dade,4123,0,6,6,Released as a precinct as first report of the night,100,4123,100%,100% reported,edison,6,all,,562,,,3414,656,42,5,2,4,0,0,0,0,0,0,2020-11-24T13:22:44Z,66.89304,R+67,Trump +67,republican,trumpd,66.89304,3951,64.5,3896,50.21,missouri,2020-12-09T08:27:51.293878Z
29059,Dallas,8122,0,13,13,Released as a precinct as first report of the night,100,8122,100%,100% reported,edison,6,all,,1130,,,6620,1380,72,21,12,17,0,0,0,0,0,0,2020-11-24T13:22:45Z,64.51613,R+65,Trump +65,republican,trumpd,64.51613,7453,62,7279,39.43,missouri,2020-12-09T08:27:51.293878Z
29061,Daviess,3909,0,6,6,Released as a precinct as first report of the night,100,3884,100%,100% reported,edison,6,all,,525,,,3102,746,49,4,8,,0,0,0,0,0,,2020-12-08T21:30:51Z,60.27117,R+60,Trump +60,republican,trumpd,60.27117,3738,54.5,3521,33.09,missouri,2020-12-09T08:27:51.293878Z
29063,DeKalb,4843,0,9,9,Released as a precinct as first report of the night,100,4813,100%,100% reported,edison,2,unknown,,475,,,3828,930,62,9,14,,0,0,0,0,0,,2020-12-08T21:30:51Z,59.83894,R+60,Trump +60,republican,trumpd,59.83894,4626,58.7,4350,42.8,missouri,2020-12-09T08:27:51.293878Z
29065,Dent,7142,0,9,9,Released as a precinct as first report of the night,100,7115,100%,100% reported,edison,2,unknown,,35,,,5987,1056,81,9,9,,0,0,0,0,0,,2020-11-24T13:22:48Z,69.04229,R+69,Trump +69,republican,trumpd,69.04229,6791,68.1,6643,49.65,missouri,2020-12-09T08:27:51.293878Z
29067,Douglas,7000,0,13,14,Released as a precinct as first report of the night,100,6994,100%,100% reported,edison,6,all,,1341,,,5898,1016,68,4,14,,0,0,0,0,0,,2020-12-08T21:30:51Z,69.74286,R+70,Trump +70,republican,trumpd,69.74286,6666,67.5,6557,44.82,missouri,2020-12-09T08:27:51.293878Z
29069,Dunklin,10419,0,20,22,Released separately at end; NOT included in cumulative results,93,11158,93%,93% reported,edison,2,unknown,,1130,,,8135,2200,61,11,12,,0,0,0,0,0,,2020-11-24T13:22:51Z,56.96324,R+57,Trump +57,republican,trumpd,56.96324,10578,53.6,10651,30.18,missouri,2020-12-09T08:27:51.293878Z
29071,Franklin,53750,10116,41,42,Released as a precinct as first report of the night,99,54085,99%,99% reported,edison,4,unknown,,5323,,,38034,14561,815,148,86,106,5263,4734,67,23,14,15,2020-11-24T13:22:52Z,43.6707,R+44,Trump +44,republican,trumpd,43.6707,50472,45.7,46755,27.91,missouri,2020-12-09T08:27:51.293878Z
