fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08087,Morgan,13744,0,18,18,Other,100,13744,100%,100% reported,edison,10,unknown,,,,,3876,9593,151,26,27,14,11,11,5,2,2,9,6,2,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:00Z,41.59633,R+42,Trump +42,republican,trumpd,41.59633,11960,41.8,10777,24.96,colorado,2021-05-04T08:35:37.802389Z
08089,Otero,9576,0,17,17,Other,100,9576,100%,100% reported,edison,10,unknown,,,,,3605,5756,88,16,35,15,10,14,6,4,2,8,1,1,5,2,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:05Z,22.46241,R+22,Trump +22,republican,trumpd,22.46241,8452,23.5,8192,8.97,colorado,2021-05-04T08:35:37.802389Z
08091,Ouray,4020,0,5,5,Other,100,4020,100%,100% reported,edison,10,some,,,,,2365,1577,46,12,7,5,2,0,1,0,3,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021-01-12T19:35:47Z,19.60199,D+20,Biden +20,democrat,bidenj,-19.60199,3310,-10.5,3202,-5.15,colorado,2021-05-04T08:35:37.802389Z
08093,Park,12291,0,13,13,Other,100,12291,100%,100% reported,edison,10,unknown,,,,,4903,6991,238,56,30,29,11,12,4,2,1,0,3,2,4,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:19:14Z,16.98804,R+17,Trump +17,republican,trumpd,16.98804,10417,26.1,9366,14.67,colorado,2021-05-04T08:35:37.802389Z
08095,Phillips,2485,0,8,8,Other,100,2485,100%,100% reported,edison,10,unknown,,,,,486,1958,24,7,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:11Z,59.23541,R+59,Trump +59,republican,trumpd,59.23541,2332,58.1,2265,46.31,colorado,2021-05-04T08:35:37.802389Z
08097,Pitkin,11957,0,10,10,Other,100,11957,100%,100% reported,edison,10,unknown,,,,,8989,2780,94,41,23,9,10,3,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:37:26Z,51.92774,D+52,Biden +52,democrat,bidenj,-51.92774,10523,-45.5,10075,-37.97,colorado,2021-05-04T08:35:37.802389Z
08099,Prowers,5561,0,13,13,Other,100,5561,100%,100% reported,edison,10,unknown,,,,,1458,4008,39,9,14,13,3,3,3,4,1,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:16Z,45.85506,R+46,Trump +46,republican,trumpd,45.85506,5016,46.8,4863,35.18,colorado,2021-05-04T08:35:37.802389Z
08101,Pueblo,88301,0,128,128,Other,100,88301,100%,100% reported,edison,10,unknown,,,,,43772,42252,1200,205,255,169,94,71,35,21,32,38,25,23,34,17,16,12,11,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:30:28Z,1.72138,D+1.7,Biden +1.7,democrat,bidenj,-1.72138,78646,0.5,76194,-13.99,colorado,2021-05-04T08:35:37.802389Z
08103,Rio Blanco,3691,0,5,5,Other,100,3691,100%,100% reported,edison,10,unknown,,,,,561,3061,42,3,11,4,3,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:27Z,67.73232,R+68,Trump +68,republican,trumpd,67.73232,3450,68.3,3369,64,colorado,2021-05-04T08:35:37.802389Z
08105,Rio Grande,6305,0,15,15,Other,100,6305,100%,100% reported,edison,10,unknown,,,,,2495,3660,66,11,20,15,2,11,1,3,4,3,3,1,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:32Z,18.4774,R+18,Trump +18,republican,trumpd,18.4774,5534,19.6,5533,7.95,colorado,2021-05-04T08:35:37.802389Z
08107,Routt,16876,0,18,18,Other,100,16876,100%,100% reported,edison,10,all,,,,,10582,5925,236,37,31,20,15,13,6,1,2,0,0,4,0,2,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:17Z,27.5954,D+28,Biden +28,democrat,bidenj,-27.5954,13986,-16.9,13317,-15.6,colorado,2021-05-04T08:35:37.802389Z
08109,Saguache,3389,0,7,7,Other,100,3389,100%,100% reported,edison,10,all,,,,,1884,1413,39,13,15,8,2,6,3,1,1,0,0,0,0,1,2,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:20Z,13.8979,D+14,Biden +14,democrat,bidenj,-13.8979,2835,-9.5,2930,-30.72,colorado,2021-05-04T08:35:37.802389Z
08111,San Juan,562,0,1,1,Other,100,562,100%,100% reported,edison,10,all,,,,,342,202,7,2,2,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:07:13Z,24.91103,D+25,Biden +25,democrat,bidenj,-24.91103,506,-9.9,506,-10.67,colorado,2021-05-04T08:35:37.802389Z
08113,San Miguel,5147,0,6,6,Other,100,5147,100%,100% reported,edison,10,some,,,,,3924,1136,52,14,11,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:22:23Z,54.16748,D+54,Biden +54,democrat,bidenj,-54.16748,4329,-44.9,4256,-43.19,colorado,2021-05-04T08:35:37.802389Z
08115,Sedgwick,1446,0,5,5,Other,100,1447,100%,100% reported,edison,10,unknown,,,,,301,1121,8,1,2,7,1,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:40Z,56.70816,R+57,Trump +57,republican,trumpd,56.70816,1364,54.8,1338,34.53,colorado,2021-05-04T08:35:37.802389Z
08117,Summit,18479,0,20,20,Other,100,18479,100%,100% reported,edison,10,unknown,,,,,12631,5322,353,60,39,16,14,13,6,0,3,1,4,3,4,2,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:45Z,39.55301,D+40,Biden +40,democrat,bidenj,-39.55301,16174,-27.6,15312,-24.66,colorado,2021-05-04T08:35:37.802389Z
08119,Teller,16939,0,13,13,Other,100,16939,100%,100% reported,edison,10,unknown,,,,,5278,11241,267,25,37,28,10,10,18,6,2,1,7,2,0,0,1,1,2,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021-01-12T19:30:41Z,35.20279,R+35,Trump +35,republican,trumpd,35.20279,14444,42.5,13407,32.59,colorado,2021-05-04T08:35:37.802389Z
08121,Washington,3008,0,6,6,Other,100,3008,100%,100% reported,edison,10,unknown,,,,,369,2595,25,5,2,4,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:50:16Z,74.00266,R+74,Trump +74,republican,trumpd,74.00266,2733,73.3,2591,62.06,colorado,2021-05-04T08:35:37.802389Z
08123,Weld,166974,0,156,156,Other,100,166974,100%,100% reported,edison,10,all,,,,,66060,96145,2895,340,449,363,170,120,115,51,44,39,45,32,27,13,14,18,12,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:36:05Z,18.01778,R+18,Trump +18,republican,trumpd,18.01778,135430,22.2,115866,12.71,colorado,2021-05-04T08:35:37.802389Z
08125,Yuma,4981,0,14,14,Other,100,4981,100%,100% reported,edison,10,unknown,,,,,785,4107,52,2,10,8,2,5,0,2,0,0,3,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:47:54Z,66.69344,R+67,Trump +67,republican,trumpd,66.69344,4791,65.2,4577,54.69,colorado,2021-05-04T08:35:37.802389Z
