fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_hunterd,results_huberb,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_hunterd,results_absentee_huberb,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08041,El Paso,378851,0,291,291,Other,100,378851,100%,100% reported,edison,10,unknown,,,,,161941,202828,9264,1135,1097,702,360,299,467,87,90,94,89,69,77,73,47,35,43,33,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:38:18Z,10.79237,R+11,Trump +11,republican,trumpd,10.79237,318968,22.3,290175,20.38,colorado,2021-05-04T08:35:37.802389Z
08039,Elbert,18983,0,15,15,Other,100,18983,100%,100% reported,edison,10,unknown,,,,,4490,14027,306,31,33,30,15,11,6,4,4,1,4,4,3,2,6,4,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2021-01-12T19:29:11Z,50.23969,R+50,Trump +50,republican,trumpd,50.23969,15980,53.6,14178,47,colorado,2021-05-04T08:35:37.802389Z
08043,Fremont,25557,0,30,30,Other,100,25557,100%,100% reported,edison,10,unknown,,,,,7369,17517,397,59,54,60,22,24,11,5,5,1,5,6,11,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:32:21Z,39.70732,R+40,Trump +40,republican,trumpd,39.70732,21973,44.7,20416,31.69,colorado,2021-05-04T08:35:37.802389Z
08045,Garfield,30904,0,27,27,Other,100,30904,100%,100% reported,edison,10,unknown,,,,,15427,14717,424,99,75,60,26,21,11,8,3,1,4,7,5,2,4,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:48:42Z,2.29744,D+2,Biden +2,democrat,bidenj,-2.29744,26470,7,24408,5.04,colorado,2021-05-04T08:35:37.802389Z
08047,Gilpin,4186,0,6,6,Other,100,4186,100%,100% reported,edison,10,unknown,,,,,2223,1833,70,17,12,10,2,9,0,1,1,1,1,1,1,2,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:16Z,9.31677,D+9,Biden +9,democrat,bidenj,-9.31677,3576,-1.9,3338,-16.36,colorado,2021-05-04T08:35:37.802389Z
08049,Grand,9870,0,12,12,Other,100,9878,100%,100% reported,edison,10,unknown,,,,,4710,4883,174,31,23,18,4,5,4,3,0,3,2,0,1,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:48:52Z,1.75279,R+1.8,Trump +1.8,republican,trumpd,1.75279,8588,13.2,8187,6.95,colorado,2021-05-04T08:35:37.802389Z
08051,Gunnison,11190,0,15,15,Other,100,11190,100%,100% reported,edison,10,all,,,,,7132,3735,210,39,23,13,7,8,7,0,1,0,1,5,0,2,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:29:35Z,30.35746,D+30,Biden +30,democrat,bidenj,-30.35746,9412,-19.5,8667,-19.65,colorado,2021-05-04T08:35:37.802389Z
08053,Hinsdale,632,0,1,1,Other,100,632,100%,100% reported,edison,10,unknown,,,,,255,353,10,1,4,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2020-11-24T13:23:18Z,15.50633,R+16,Trump +16,republican,trumpd,15.50633,589,24.1,600,20.67,colorado,2021-05-04T08:35:37.802389Z
08055,Huerfano,4406,0,11,11,Other,100,4406,100%,100% reported,edison,10,unknown,,,,,2076,2203,71,12,10,9,2,5,3,0,2,2,1,0,3,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:49:54Z,2.88243,R+3,Trump +3,republican,trumpd,2.88243,3783,6.6,3714,-8.27,colorado,2021-05-04T08:35:37.802389Z
08057,Jackson,876,0,5,5,Other,100,876,100%,100% reported,edison,10,unknown,,,,,175,681,12,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:45:50Z,57.76256,R+58,Trump +58,republican,trumpd,57.76256,861,53.2,848,45.28,colorado,2021-05-04T08:35:37.802389Z
08059,Jefferson,377358,0,309,309,Other,100,377358,100%,100% reported,edison,10,unknown,,,,,218396,148417,6394,1089,900,631,318,231,309,101,84,63,76,82,64,51,35,39,40,16,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-01-12T19:32:35Z,18.54446,D+19,Biden +19,democrat,bidenj,-18.54446,328883,-6.9,311052,-4.85,colorado,2021-05-04T08:35:37.802389Z
08061,Kiowa,903,0,4,4,Other,100,903,100%,100% reported,edison,10,unknown,,,,,98,795,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-06T15:50:48Z,77.18715,R+77,Trump +77,republican,trumpd,77.18715,855,74.5,821,68.09,colorado,2021-05-04T08:35:37.802389Z
