fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
09001,Fairfield,472396,26997,190,190,,,,,"",edison,,,,,,,297505,168445,4593,1681,172,21492,5188,209,107,1,2020-12-09T20:17:27Z,27.3203,D+27,Biden +27,democrat,bidenj,-27.3203,421209,-19.9,396130,-10.63,connecticut,2021-04-29T06:39:23.433131Z
09003,Hartford,449336,6550,171,171,,,,,"",edison,,,,,,,283368,159024,5039,1773,132,5227,1220,73,27,3,2020-11-24T13:23:09Z,27.67283,D+28,Biden +28,democrat,bidenj,-27.67283,406864,-22.7,392240,-25.85,connecticut,2021-04-29T06:39:23.433131Z
09005,Litchfield,107544,0,50,50,,,,,"",edison,,,,,,,50164,55601,1280,485,14,0,0,0,0,0,2020-11-24T13:22:59Z,5.05561,R+5,Trump +5,republican,trumpd,5.05561,97442,13.6,92427,3.62,connecticut,2021-04-29T06:39:23.433131Z
09007,Middlesex,99203,0,34,34,,,,,"",edison,,,,,,,56848,40665,1210,444,36,0,0,0,0,0,2020-11-24T13:23:06Z,16.31301,D+16,Biden +16,democrat,bidenj,-16.31301,88624,-7.3,83538,-15.88,connecticut,2021-04-29T06:39:23.433131Z
09009,New Haven,417982,27549,193,193,,,,,"",edison,,,,,,,242630,169893,3661,1693,105,19155,8165,143,81,5,2020-12-09T20:17:52Z,17.40195,D+17,Biden +17,democrat,bidenj,-17.40195,379006,-12.3,361059,-22.33,connecticut,2021-04-29T06:39:23.433131Z
09011,New London,139604,0,60,60,,,,,"",edison,,,,,,,79459,57110,2256,757,22,0,0,0,0,0,2020-11-24T13:23:00Z,16.00885,D+16,Biden +16,democrat,bidenj,-16.00885,123528,-6.7,115102,-18.27,connecticut,2021-04-29T06:39:23.433131Z
09013,Tolland,80713,0,25,25,,,,,"",edison,,,,,,,44151,34838,1277,398,49,0,0,0,0,0,2020-11-30T18:31:04Z,11.53841,D+12,Biden +12,democrat,bidenj,-11.53841,77424,-5.6,70991,-12.56,connecticut,2021-04-29T06:39:23.433131Z
09015,Windham,57082,0,30,30,,,,,"",edison,,,,,,,26706,29141,914,307,14,0,0,0,0,0,2021-03-12T19:48:13Z,4.26579,R+4,Trump +4,republican,trumpd,4.26579,50823,7.8,46588,-13.28,connecticut,2021-04-29T06:39:23.433131Z
