fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_write_ins,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_write_ins,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,state,retrieved_time
02928,ED 28,12831,7819,9,9,Released as a separate subtotal as first report of the night,100,12831,100%,100% reported,edison,10,unknown,,4000,,,6162,6264,219,69,82,16,16,3,2926,4648,103,37,82,10,11,2,2021-01-11T18:33:34Z,0.79495,D+0.79,Biden +0.79,democrat,bidenj,-0.79495,11427,5.9,alaska,2021-05-02T23:31:37.538010Z
02929,ED 29,10784,4826,11,11,Released as a separate subtotal as first report of the night,100,10784,100%,100% reported,edison,10,unknown,,4000,,,7464,2985,190,69,37,26,10,3,2734,1971,65,32,13,10,0,1,2021-01-11T18:33:55Z,41.53375,R+42,Trump +42,republican,trumpd,41.53375,9394,45.2,alaska,2021-05-02T23:31:37.538010Z
02903,ED 3,8421,3122,5,5,Released as a separate subtotal as first report of the night,100,8421,100%,100% reported,edison,10,unknown,,4000,,,6076,1903,316,42,36,27,13,8,1789,1172,128,18,0,8,3,4,2021-01-11T14:41:49Z,49.55468,R+50,Trump +50,republican,trumpd,49.55468,7613,54.7,alaska,2021-05-02T23:31:37.538010Z
02930,ED 30,10226,5152,6,6,Released as a separate subtotal as first report of the night,100,10226,100%,100% reported,edison,10,unknown,,4000,,,7180,2638,270,42,50,26,17,3,3114,1871,108,13,30,7,6,3,2021-01-11T18:34:17Z,44.41619,R+44,Trump +44,republican,trumpd,44.41619,8950,48.9,alaska,2021-05-02T23:31:37.538010Z
02931,ED 31,12481,6751,9,9,Released as a separate subtotal as first report of the night,100,12481,100%,100% reported,edison,10,unknown,,4000,,,6971,5037,250,100,71,27,18,7,2807,3716,110,47,44,16,8,3,2021-01-11T18:34:33Z,15.49555,R+15,Trump +15,republican,trumpd,15.49555,10182,21.1,alaska,2021-05-02T23:31:37.538010Z
02932,ED 32,8361,4079,14,14,Released as a separate subtotal as first report of the night,100,8361,100%,100% reported,edison,10,unknown,,4000,,,4440,3506,238,105,26,21,21,4,1749,2152,101,42,15,10,9,1,2021-01-26T16:12:37Z,11.17091,R+11,Trump +11,republican,trumpd,11.17091,7472,14.2,alaska,2021-05-02T23:31:37.538010Z
02933,ED 33,11016,7831,11,11,Released as a separate subtotal as first report of the night,100,11016,100%,100% reported,edison,10,unknown,,4000,,,3059,7535,197,103,61,27,25,9,1642,5955,109,59,36,14,11,5,2021-01-26T16:13:46Z,40.63181,D+41,Biden +41,democrat,bidenj,-40.63181,9934,-32.7,alaska,2021-05-02T23:31:37.538010Z
02934,ED 34,10794,8045,7,7,Released as a separate subtotal as first report of the night,100,10794,100%,100% reported,edison,10,unknown,,4000,,,4543,5763,279,68,65,36,34,6,2877,4862,161,49,44,26,24,2,2021-01-11T18:35:20Z,11.30258,D+11,Biden +11,democrat,bidenj,-11.30258,9431,-2.8,alaska,2021-05-02T23:31:37.538010Z
02935,ED 35,10149,5844,14,14,Released as a separate subtotal as first report of the night,100,10149,100%,100% reported,edison,10,unknown,,4000,,,4769,5011,170,95,47,35,16,6,2245,3435,92,44,0,20,8,0,2021-01-26T16:12:42Z,2.38447,D+2,Biden +2,democrat,bidenj,-2.38447,9042,3.9,alaska,2021-05-02T23:31:37.538010Z
02936,ED 36,9331,3720,10,10,Released as a separate subtotal as first report of the night,100,9331,100%,100% reported,edison,10,unknown,,4000,,,5114,3796,245,79,39,30,20,8,1619,1973,94,14,0,10,8,2,2021-01-26T16:14:42Z,14.12496,R+14,Trump +14,republican,trumpd,14.12496,8264,21.4,alaska,2021-05-02T23:31:37.538010Z
