fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48091,Comal,88892,79566,30,30,Released as a precinct as first report of the night,100,88863,100%,100% reported,edison,10,all,,64101,,,62740,24826,1106,191,29,56111,22457,843,155,0,2021-01-08T19:55:41Z,42.65176,R+43,Trump +43,republican,trumpd,42.65176,62178,49.7,51529,54.08,texas,2021-05-07T13:34:42.935524Z
48093,Comanche,6086,4681,15,15,Released as a precinct as first report of the night,100,6086,100%,100% reported,edison,10,unknown,,4034,,,5177,853,49,5,2,3965,687,26,2,1,2021-02-22T20:04:42Z,71.04831,R+71,Trump +71,republican,trumpd,71.04831,5237,67.7,4906,62.25,texas,2021-05-07T13:34:42.935524Z
48095,Concho,1268,783,9,9,Released as a precinct as first report of the night,100,1268,100%,100% reported,edison,10,unknown,,569,,,1058,197,10,3,0,636,138,7,2,0,2021-02-17T16:45:17Z,67.90221,R+68,Trump +68,republican,trumpd,67.90221,1068,69,1001,59.84,texas,2021-05-07T13:34:42.935524Z
48097,Cooke,18996,13630,30,30,Released as a precinct as first report of the night,100,18988,100%,100% reported,edison,10,unknown,,10395,,,15596,3210,156,26,8,10956,2555,100,19,0,2021-02-17T16:45:30Z,65.2032,R+65,Trump +65,republican,trumpd,65.2032,15955,67.9,14351,67.63,texas,2021-05-07T13:34:42.935524Z
48099,Coryell,23493,19274,16,16,Released as a precinct as first report of the night,100,23490,100%,100% reported,edison,10,some,,16701,,,15438,7565,410,77,3,12453,6479,285,57,0,2021-01-08T19:56:05Z,33.51211,R+34,Trump +34,republican,trumpd,33.51211,18253,39.2,16604,36.51,texas,2021-05-07T13:34:42.935524Z
48101,Cottle,662,491,5,5,Released as a precinct as first report of the night,100,662,100%,100% reported,edison,10,unknown,,690,,,540,113,6,3,0,398,88,4,1,0,2021-02-22T20:04:50Z,64.50151,R+65,Trump +65,republican,trumpd,64.50151,612,67.6,741,50.61,texas,2021-05-07T13:34:42.935524Z
48103,Crane,1503,1086,4,4,Released as a precinct as first report of the night,100,1503,100%,100% reported,edison,10,unknown,,1280,,,1247,241,10,4,1,906,170,7,2,1,2021-02-17T16:45:44Z,66.9328,R+67,Trump +67,republican,trumpd,66.9328,1384,54.2,1283,55.34,texas,2021-05-07T13:34:42.935524Z
48105,Crockett,1574,1212,5,5,Released as a precinct as first report of the night,100,1574,100%,100% reported,edison,10,unknown,,1379,,,1220,344,9,1,0,939,269,4,0,0,2021-02-17T16:45:55Z,55.65438,R+56,Trump +56,republican,trumpd,55.65438,1395,43.6,1457,32.74,texas,2021-05-07T13:34:42.935524Z
48107,Crosby,1953,1221,5,5,Released as a precinct as first report of the night,100,1953,100%,100% reported,edison,10,unknown,,1368,,,1396,527,22,8,0,868,337,12,4,0,2021-02-17T16:46:08Z,44.49565,R+44,Trump +44,republican,trumpd,44.49565,1728,41.3,1787,27.59,texas,2021-05-07T13:34:42.935524Z
48109,Culberson,864,558,6,6,Released as a precinct as first report of the night,100,864,100%,100% reported,edison,10,unknown,,681,,,415,438,9,2,0,256,297,4,1,0,2021-02-17T16:46:19Z,2.66204,D+3,Biden +3,democrat,bidenj,-2.66204,767,-22.7,879,-31.06,texas,2021-05-07T13:34:42.935524Z
48111,Dallam,1609,1029,10,10,Released as a precinct as first report of the night,100,1609,100%,100% reported,edison,10,unknown,,954,,,1389,197,18,5,0,889,128,8,4,0,2021-02-17T16:46:31Z,74.08328,R+74,Trump +74,republican,trumpd,74.08328,1544,67.3,1534,64.86,texas,2021-05-07T13:34:42.935524Z
48113,Dallas,919504,797955,1170,1170,Released as a precinct as first report of the night,100,921638,100%,100% reported,edison,10,unknown,,739551,,,307076,598576,9635,3667,550,261349,526075,7250,2731,550,2021-02-17T16:46:52Z,31.70187,D+32,Biden +32,democrat,bidenj,-31.70187,765682,-25.9,710117,-15.46,texas,2021-05-07T13:34:42.935524Z
48115,Dawson,3789,2918,10,10,Released as a precinct as first report of the night,100,3789,100%,100% reported,edison,10,unknown,,3346,,,2951,808,25,5,0,2307,589,18,4,0,2021-02-17T16:47:03Z,56.55846,R+57,Trump +57,republican,trumpd,56.55846,3563,50.5,3642,43.16,texas,2021-05-07T13:34:42.935524Z
48123,De Witt,8118,6229,10,10,Released as a precinct as first report of the night,100,8118,100%,100% reported,edison,10,unknown,,5965,,,6567,1494,46,11,0,5000,1187,35,7,0,2021-02-17T16:47:36Z,62.49076,R+62,Trump +62,republican,trumpd,62.49076,6844,63.6,6638,55.06,texas,2021-05-07T13:34:42.935524Z
48117,Deaf Smith,4610,3634,5,5,Released as a precinct as first report of the night,100,4610,100%,100% reported,edison,10,unknown,,739,,,3294,1264,35,17,0,2672,925,23,14,0,2021-02-17T16:47:14Z,44.03471,R+44,Trump +44,republican,trumpd,44.03471,4216,40.9,4309,41.84,texas,2021-05-07T13:34:42.935524Z
48119,Delta,2592,1829,8,8,Released as a precinct as first report of the night,100,2592,100%,100% reported,edison,10,unknown,,1505,,,2162,403,24,3,0,1485,327,15,2,0,2021-02-17T16:47:25Z,67.86265,R+68,Trump +68,republican,trumpd,67.86265,2281,63,2018,53.02,texas,2021-05-07T13:34:42.935524Z
48121,Denton,417964,384152,186,186,Released as a precinct as first report of the night,100,417964,100%,100% reported,edison,10,all,,280830,,,222480,188695,5421,1092,276,203281,175169,4546,917,239,2020-11-24T13:27:00Z,8.08323,R+8,Trump +8,republican,trumpd,8.08323,298645,20,242781,31.55,texas,2021-05-07T13:34:42.935524Z
48125,Dickens,988,676,7,7,Released as a precinct as first report of the night,100,988,100%,100% reported,edison,10,unknown,,846,,,853,130,3,2,0,586,87,2,1,0,2021-02-17T16:47:44Z,73.17814,R+73,Trump +73,republican,trumpd,73.17814,909,69,1019,56.62,texas,2021-05-07T13:34:42.935524Z
48127,Dimmit,3666,2455,8,8,Released as a precinct as first report of the night,100,3666,100%,100% reported,edison,10,unknown,,2084,,,1384,2264,10,8,0,852,1592,8,3,0,2021-02-17T17:06:50Z,24.00436,D+24,Biden +24,democrat,bidenj,-24.00436,3225,-37.2,2917,-47.27,texas,2021-05-07T13:34:42.935524Z
48129,Donley,1648,1158,7,7,Released as a precinct as first report of the night,100,1648,100%,100% reported,edison,10,unknown,,1330,,,1438,198,11,1,0,1009,143,6,0,0,2021-02-17T17:07:04Z,75.24272,R+75,Trump +75,republican,trumpd,75.24272,1465,70.6,1535,69.12,texas,2021-05-07T13:34:42.935524Z
48131,Duval,5053,5050,10,10,Released as a precinct as first report of the night,100,5053,100%,100% reported,edison,10,unknown,,4122,,,2443,2575,22,13,0,2442,2573,22,13,0,2021-02-17T16:48:03Z,2.61231,D+3,Biden +3,democrat,bidenj,-2.61231,4168,-35.2,4344,-54.12,texas,2021-05-07T13:34:42.935524Z
48133,Eastland,8293,6520,10,10,Released as a precinct as first report of the night,100,8292,100%,100% reported,edison,10,unknown,,5907,,,7237,983,60,12,1,5683,792,35,10,0,2021-02-17T16:48:14Z,75.413,R+75,Trump +75,republican,trumpd,75.413,6963,75.2,6495,68.88,texas,2021-05-07T13:34:42.935524Z
48135,Ector,44591,35426,41,41,Released as a precinct as first report of the night,100,44581,100%,100% reported,edison,10,unknown,,35298,,,32697,11367,428,89,10,25867,9211,292,56,0,2021-02-22T19:48:06Z,47.83476,R+48,Trump +48,republican,trumpd,47.83476,36530,40.4,32513,48.88,texas,2021-05-07T13:34:42.935524Z
48137,Edwards,1066,773,5,5,Released as a precinct as first report of the night,100,1066,100%,100% reported,edison,10,unknown,,827,,,893,168,5,0,0,646,125,2,0,0,2021-02-17T16:48:24Z,68.01126,R+68,Trump +68,republican,trumpd,68.01126,1073,41.3,884,46.38,texas,2021-05-07T13:34:42.935524Z
48141,El Paso,266729,208372,209,209,Released as a precinct as first report of the night,100,267215,100%,100% reported,edison,10,unknown,,157724,,,84331,178126,2746,1445,81,64255,141211,1889,1017,0,2021-02-17T16:48:35Z,35.16491,D+35,Biden +35,democrat,bidenj,-35.16491,215922,-42.8,172412,-32.37,texas,2021-05-07T13:34:42.935524Z
48139,Ellis,85493,75112,50,50,Released as a precinct as first report of the night,100,85493,100%,100% reported,edison,10,all,,56843,,,56717,27565,954,220,37,49660,24515,736,168,33,2020-12-14T16:49:45Z,34.0987,R+34,Trump +34,republican,trumpd,34.0987,64110,44.7,54151,47.45,texas,2021-05-07T13:34:42.935524Z
48143,Erath,16856,13625,22,22,Released as a precinct as first report of the night,100,16853,100%,100% reported,edison,10,unknown,,13085,,,13684,2916,218,35,3,11028,2407,164,26,0,2021-02-17T16:48:46Z,63.8823,R+64,Trump +64,republican,trumpd,63.8823,13893,65.1,12473,67.06,texas,2021-05-07T13:34:42.935524Z
48145,Falls,6133,3683,13,13,Released as a precinct as first report of the night,100,6133,100%,100% reported,edison,10,unknown,,3515,,,4177,1899,44,13,0,2342,1306,27,8,0,2021-02-17T16:48:52Z,37.14332,R+37,Trump +37,republican,trumpd,37.14332,5248,33.5,5434,24.35,texas,2021-05-07T13:34:42.935524Z
48147,Fannin,15007,11038,17,17,Released as a precinct as first report of the night,100,15004,100%,100% reported,edison,10,unknown,,8408,,,12171,2655,155,23,3,8804,2124,94,16,0,2021-02-17T16:48:58Z,63.41041,R+63,Trump +63,republican,trumpd,63.41041,12044,61.6,10804,52.53,texas,2021-05-07T13:34:42.935524Z
48149,Fayette,12941,9287,27,27,Released as a precinct as first report of the night,100,12941,100%,100% reported,edison,10,unknown,,7646,,,10171,2661,83,26,0,7185,2032,53,17,0,2021-02-17T16:49:08Z,58.03261,R+58,Trump +58,republican,trumpd,58.03261,11174,59.1,10551,54.89,texas,2021-05-07T13:34:42.935524Z
48151,Fisher,1826,1304,5,5,Released as a precinct as first report of the night,100,1826,100%,100% reported,edison,10,unknown,,1044,,,1448,352,21,5,0,1022,262,17,3,0,2021-02-17T16:49:16Z,60.02191,R+60,Trump +60,republican,trumpd,60.02191,1729,49.9,1629,35.73,texas,2021-05-07T13:34:42.935524Z
48153,Floyd,2039,1663,7,7,Released as a precinct as first report of the night,100,2039,100%,100% reported,edison,10,unknown,,2191,,,1584,438,15,2,0,1314,339,8,2,0,2021-02-17T16:49:26Z,56.20402,R+56,Trump +56,republican,trumpd,56.20402,1959,53,2085,46.62,texas,2021-05-07T13:34:42.935524Z
48155,Foard,551,412,5,5,Released as a precinct as first report of the night,100,551,100%,100% reported,edison,10,unknown,,398,,,445,99,6,1,0,332,76,3,1,0,2021-02-17T16:49:37Z,62.79492,R+63,Trump +63,republican,trumpd,62.79492,513,52.6,495,42.02,texas,2021-05-07T13:34:42.935524Z
