fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48001,Anderson,19227,14491,23,23,Released as a precinct as first report of the night,100,19227,100%,100% reported,edison,10,unknown,,15380,,,15110,3955,134,22,6,11120,3249,96,21,5,2021-02-22T19:58:12Z,58.01737,R+58,Trump +58,republican,trumpd,58.01737,16977,57.9,16212,52.12,texas,2021-05-07T13:34:42.935524Z
48003,Andrews,5863,4780,5,5,Released as a precinct as first report of the night,100,5863,100%,100% reported,edison,10,all,,4805,,,4943,850,60,10,0,4029,700,45,6,0,2020-11-27T13:43:51Z,69.81068,R+70,Trump +70,republican,trumpd,69.81068,4943,62.5,4482,63.45,texas,2021-05-07T13:34:42.935524Z
48005,Angelina,34574,28635,43,43,Released as a precinct as first report of the night,100,34574,100%,100% reported,edison,10,unknown,,28954,,,25076,9143,274,75,6,20658,7717,200,54,6,2021-02-22T19:58:24Z,46.08376,R+46,Trump +46,republican,trumpd,46.08376,29911,47.2,28406,43.9,texas,2021-05-07T13:34:42.935524Z
48007,Aransas,12290,11029,6,6,Released as a precinct as first report of the night,100,12290,100%,100% reported,edison,10,unknown,,10783,,,9239,2916,103,31,1,8249,2670,84,26,0,2021-02-22T19:58:36Z,51.44833,R+51,Trump +51,republican,trumpd,51.44833,10512,50.2,9648,42.77,texas,2021-05-07T13:34:42.935524Z
48009,Archer,4796,3623,12,12,Released as a precinct as first report of the night,100,4796,100%,100% reported,edison,10,unknown,,2737,,,4300,446,45,4,1,3236,356,28,2,1,2021-02-22T19:58:49Z,80.35863,R+80,Trump +80,republican,trumpd,80.35863,4283,79.2,4164,73.85,texas,2021-05-07T13:34:42.935524Z
48011,Armstrong,1112,846,8,8,Released as a precinct as first report of the night,100,1112,100%,100% reported,edison,10,unknown,,777,,,1035,75,2,0,0,784,61,1,0,0,2021-02-22T19:59:06Z,86.33094,R+86,Trump +86,republican,trumpd,86.33094,1021,83.6,935,78.07,texas,2021-05-07T13:34:42.935524Z
48013,Atascosa,18118,14768,25,25,Released as a precinct as first report of the night,100,18118,100%,100% reported,edison,10,all,,10647,,,12039,5876,143,58,2,9766,4844,112,44,2,2020-12-11T21:42:22Z,34.0159,R+34,Trump +34,republican,trumpd,34.0159,13673,29,12721,18.3,texas,2021-05-07T13:34:42.935524Z
48015,Austin,14554,11556,18,18,Released as a precinct as first report of the night,100,14554,100%,100% reported,edison,10,unknown,,9966,,,11447,2951,123,33,0,9001,2438,91,26,0,2021-02-22T19:59:21Z,58.3757,R+58,Trump +58,republican,trumpd,58.3757,12274,59.6,11649,60.2,texas,2021-05-07T13:34:42.935524Z
48017,Bailey,1860,1284,5,5,Released as a precinct as first report of the night,100,1860,100%,100% reported,edison,10,unknown,,1464,,,1434,409,14,2,1,1023,253,7,0,1,2021-02-22T20:00:34Z,55.10753,R+55,Trump +55,republican,trumpd,55.10753,1793,52.8,1816,48.07,texas,2021-05-07T13:34:42.935524Z
48019,Bandera,12715,11085,11,11,Released as a precinct as first report of the night,100,12715,100%,100% reported,edison,10,unknown,,10011,,,10057,2505,120,30,3,8671,2297,92,22,3,2021-02-22T20:00:46Z,59.39442,R+59,Trump +59,republican,trumpd,59.39442,10218,63,9448,58.87,texas,2021-05-07T13:34:42.935524Z
48021,Bastrop,36665,31321,23,23,Released as a precinct as first report of the night,100,36665,100%,100% reported,edison,10,all,,25791,,,20516,15474,531,128,16,16890,13903,407,107,14,2020-12-11T21:42:46Z,13.75153,R+14,Trump +14,republican,trumpd,13.75153,28665,20.1,24481,17.03,texas,2021-05-07T13:34:42.935524Z
48023,Baylor,1702,1376,5,5,Released as a precinct as first report of the night,100,1702,100%,100% reported,edison,10,unknown,,1554,,,1494,183,22,1,2,1211,146,16,1,2,2021-02-22T19:59:42Z,77.02703,R+77,Trump +77,republican,trumpd,77.02703,1499,71.8,1592,64.7,texas,2021-05-07T13:34:42.935524Z
48025,Bee,9420,7547,18,18,Released as a precinct as first report of the night,100,9420,100%,100% reported,edison,10,unknown,,7301,,,6006,3288,93,27,6,4691,2761,68,21,6,2021-02-22T19:59:58Z,28.8535,R+29,Trump +29,republican,trumpd,28.8535,8485,15.3,7879,11.47,texas,2021-05-07T13:34:42.935524Z
48027,Bell,127375,104209,49,49,Released as a precinct as first report of the night,100,127375,100%,100% reported,edison,10,all,,89466,,,67893,57014,1980,440,48,53984,48532,1336,323,34,2021-01-27T16:55:20Z,8.54092,R+9,Trump +9,republican,trumpd,8.54092,95701,14.8,86206,16.31,texas,2021-05-07T13:34:42.935524Z
48029,Bexar,770818,685465,767,767,Released as a precinct as first report of the night,100,768952,100%,100% reported,edison,10,unknown,,609654,,,308618,448452,8837,2798,2113,270892,404967,7115,2283,208,2021-02-22T20:01:07Z,18.14099,D+18,Biden +18,democrat,bidenj,-18.14099,594574,-13.3,513681,-4.52,texas,2021-05-07T13:34:42.935524Z
