fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_kennedya,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53037,Kittitas,26364,0,62,62,None,100,26364,100%,100% reported,edison,10,all,,,,,11421,14105,540,166,101,22,9,0,0,0,0,0,0,0,2020-12-08T16:07:36Z,10.18055,R+10,Trump +10,republican,trumpd,10.18055,19615,13.3,18171,10.09,washington,2021-05-09T20:53:14.732363Z
53039,Klickitat,13560,0,29,29,None,100,13560,100%,100% reported,edison,10,all,,,,,5959,7237,211,79,50,13,11,0,0,0,0,0,0,0,2020-12-08T16:07:47Z,9.42478,R+9,Trump +9,republican,trumpd,9.42478,11074,14.4,10274,6.99,washington,2021-05-09T20:53:14.732363Z
53041,Lewis,45309,0,95,95,None,100,45309,100%,100% reported,edison,10,all,,,,,14520,29391,927,232,177,42,20,0,0,0,0,0,0,0,2020-12-08T16:07:58Z,32.82129,R+33,Trump +33,republican,trumpd,32.82129,35199,35.1,34044,22.88,washington,2021-05-09T20:53:14.732363Z
53043,Lincoln,7033,0,46,46,None,100,7033,100%,100% reported,edison,10,all,,,,,1713,5150,111,40,15,3,1,0,0,0,0,0,0,0,2020-12-08T16:08:07Z,48.86961,R+49,Trump +49,republican,trumpd,48.86961,5861,48.9,5872,40.7,washington,2021-05-09T20:53:14.732363Z
53045,Mason,37303,0,43,43,None,100,37303,100%,100% reported,edison,10,all,,,,,17269,18710,888,191,175,45,25,0,0,0,0,0,0,0,2020-12-08T16:08:22Z,3.86296,R+4,Trump +4,republican,trumpd,3.86296,29003,5.8,28235,-7.09,washington,2021-05-09T20:53:14.732363Z
53047,Okanogan,21282,0,248,248,None,100,21282,100%,100% reported,edison,10,all,,,,,8900,11840,290,130,81,24,17,0,0,0,0,0,0,0,2020-12-08T16:08:30Z,13.81449,R+14,Trump +14,republican,trumpd,13.81449,17556,18.9,16846,12.54,washington,2021-05-09T20:53:14.732363Z
53049,Pacific,14064,0,39,39,None,100,14064,100%,100% reported,edison,10,all,,,,,6794,6953,201,47,46,13,10,0,0,0,0,0,0,0,2020-12-08T16:08:43Z,1.13055,R+1.1,Trump +1.1,republican,trumpd,1.13055,10972,6.7,10524,-11.52,washington,2021-05-09T20:53:14.732363Z
53051,Pend Oreille,8553,0,27,27,None,100,8553,100%,100% reported,edison,10,all,,,,,2593,5728,147,40,31,9,5,0,0,0,0,0,0,0,2020-12-08T16:08:50Z,36.65381,R+37,Trump +37,republican,trumpd,36.65381,7016,34.8,6668,21.66,washington,2021-05-09T20:53:14.732363Z
53053,Pierce,464081,0,555,555,None,100,464081,100%,100% reported,edison,10,all,,,,,249506,197730,10495,3367,2126,539,318,0,0,0,0,0,0,0,2020-12-08T16:09:03Z,11.15667,D+11,Biden +11,democrat,bidenj,-11.15667,360017,-7.1,342910,-11.07,washington,2021-05-09T20:53:14.732363Z
53055,San Juan,13197,0,19,19,None,100,13197,100%,100% reported,edison,10,all,,,,,9725,3057,210,107,73,16,9,0,0,0,0,0,0,0,2020-12-08T16:09:12Z,50.52663,D+51,Biden +51,democrat,bidenj,-50.52663,11134,-40.3,10594,-37.89,washington,2021-05-09T20:53:14.732363Z
