fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06067,Sacramento,718290,0,677,677,Released as a separate subtotal as first report of the night,100,718290,100%,100% reported,edison,10,all,,489638,,,440808,259405,9770,3254,2423,2630,,0,0,0,0,0,0,,2020-12-01T20:40:47Z,25.25484,D+25,Biden +25,democrat,bidenj,-25.25484,562285,-24.2,516809,-18.96,california,2020-12-31T11:36:45.374686Z
06069,San Benito,28821,21132,54,54,Released as a separate subtotal as first report of the night,100,28821,100%,100% reported,edison,10,unknown,,19926,,,17628,10590,345,91,83,84,,13404,7323,238,58,60,49,,2020-12-01T02:40:48Z,24.41969,D+24,Biden +24,democrat,bidenj,-24.41969,22122,-21.2,19044,-20.65,california,2020-12-31T11:36:45.374686Z
06071,San Bernardino,840931,342615,2327,2327,Released as a separate subtotal as first report of the night,100,840931,100%,100% reported,edison,10,some,,453259,,,455859,366257,8791,3619,3050,3355,,218798,117385,2992,1329,1033,1078,,2020-12-01T20:40:47Z,10.6551,D+11,Biden +11,democrat,bidenj,-10.6551,653983,-10.6,581517,-7.35,california,2020-12-31T11:36:45.374686Z
06073,San Diego,1601722,1399950,1414,1414,Released as a separate subtotal as first report of the night,100,1601722,100%,100% reported,edison,10,some,,1080011,,,964650,600094,21386,7421,2869,5302,,881463,486575,18490,6566,2409,4447,,2020-12-05T21:24:27Z,22.76025,D+23,Biden +23,democrat,bidenj,-22.76025,1311618,-19.6,1192282,-7.57,california,2020-12-31T11:36:45.374686Z
06075,San Francisco,443458,318178,609,609,Released as a separate subtotal as first report of the night,100,443458,100%,100% reported,edison,10,unknown,,309114,,,378156,56417,3299,2781,1543,1262,0,278413,34477,1911,1721,974,682,0,2020-12-05T21:25:09Z,72.5523,D+73,Biden +73,democrat,bidenj,-72.5523,408541,-75.2,361209,-70.5,california,2020-12-31T11:36:45.374686Z
06077,San Joaquin,288443,0,207,207,None,100,288443,100%,100% reported,edison,10,unknown,,212698,,,161137,121098,2929,1064,964,1251,,0,0,0,0,0,0,,2020-12-03T05:40:48Z,13.88108,D+14,Biden +14,democrat,bidenj,-13.88108,227002,-14.2,204697,-13.7,california,2020-12-31T11:36:45.374686Z
06079,San Luis Obispo,159681,111693,112,112,Released as a separate subtotal as first report of the night,100,159681,100%,100% reported,edison,10,all,,128384,,,88310,67436,2408,794,278,455,,67651,41853,1290,477,152,270,,2020-11-25T21:45:48Z,13.07231,D+13,Biden +13,democrat,bidenj,-13.07231,137202,-8,125638,-1.03,california,2020-12-31T11:36:45.374686Z
06081,San Mateo,374138,227577,403,403,Released as a separate subtotal as first report of the night,100,374138,100%,100% reported,edison,10,all,,271008,,,291410,75563,3552,1595,796,1142,80,187578,36584,1715,806,378,516,0,2020-12-02T14:34:54Z,57.69181,D+58,Biden +58,democrat,bidenj,-57.69181,314384,-57.2,285720,-46.66,california,2020-12-31T11:36:45.374686Z
06083,Santa Barbara,200288,0,226,226,Released as a separate subtotal as first report of the night,100,200288,100%,100% reported,edison,10,unknown,,155496,,,129963,65736,2416,939,520,714,0,0,0,0,0,0,0,0,2020-12-05T20:53:58Z,32.06732,D+32,Biden +32,democrat,bidenj,-32.06732,178878,-28.4,163320,-18.08,california,2020-12-31T11:36:45.374686Z
06085,Santa Clara,850522,0,596,596,Released as a separate subtotal as first report of the night,100,850522,100%,100% reported,edison,10,some,,732616,,,617967,214612,9131,4040,2149,2623,,0,0,0,0,0,0,,2020-12-05T21:11:47Z,47.42441,D+47,Biden +47,democrat,bidenj,-47.42441,703709,-52.1,643091,-42.91,california,2020-12-31T11:36:45.374686Z
06087,Santa Cruz,144796,0,168,168,Released as a separate subtotal as first report of the night,100,144796,100%,100% reported,edison,10,unknown,,102995,,,114246,26937,1704,1062,413,434,0,0,0,0,0,0,0,0,2020-12-05T20:54:10Z,60.29794,D+60,Biden +60,democrat,bidenj,-60.29794,130012,-56,120095,-55.59,california,2020-12-31T11:36:45.374686Z
06089,Shasta,92900,0,97,97,Released as a separate subtotal as first report of the night,100,92900,100%,100% reported,edison,10,unknown,,77694,,,30000,60789,1277,368,185,281,0,0,0,0,0,0,0,0,2020-12-05T21:25:34Z,33.14209,R+33,Trump +33,republican,trumpd,33.14209,81024,36.4,76335,29.15,california,2020-12-31T11:36:45.374686Z
06091,Sierra,1930,0,23,23,Other,100,1930,100%,100% reported,edison,10,unknown,,2915,,,730,1142,27,13,6,12,0,0,0,0,0,0,0,0,2020-12-05T20:54:39Z,21.34715,R+21,Trump +21,republican,trumpd,21.34715,1858,24.1,1795,22.45,california,2020-12-31T11:36:45.374686Z
06093,Siskiyou,23450,0,64,64,Released as a separate subtotal as first report of the night,100,23450,100%,100% reported,edison,10,unknown,,21928,,,9593,13290,318,116,54,79,0,0,0,0,0,0,0,0,2020-12-05T21:26:16Z,15.76546,R+16,Trump +16,republican,trumpd,15.76546,20493,20,19910,15.22,california,2020-12-31T11:36:45.374686Z
