fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13247,Rockdale,44699,38452,16,16,Released as a precinct as first report of the night,100,44699,100%,100% reported,edison,10,all,,42981,,,31237,13014,430,18,27677,10471,304,0,2021-01-13T14:29:41Z,40.76825,D+41,Biden +41,democrat,bidenj,-40.76825,38087,-25.7,38085,-16.56,georgia,2021-05-04T17:41:56.389976Z
13249,Schley,2275,1901,1,1,Released as a precinct as first report of the night,100,2275,100%,100% reported,edison,10,unknown,,1795,,,462,1800,13,0,397,1495,9,0,2020-11-24T13:26:09Z,58.81319,R+59,Trump +59,republican,trumpd,58.81319,1923,55.7,1748,47.94,georgia,2021-05-04T17:41:56.389976Z
13251,Screven,6629,4725,12,12,Other,100,6629,100%,100% reported,edison,10,all,,4550,,,2661,3915,51,2,2053,2645,27,0,2021-01-13T14:29:51Z,18.91688,R+19,Trump +19,republican,trumpd,18.91688,5715,17.6,6100,8.41,georgia,2021-05-04T17:41:56.389976Z
13253,Seminole,3888,2631,5,5,Other,100,3888,100%,100% reported,edison,10,unknown,,2571,,,1256,2613,19,0,960,1667,4,0,2021-03-06T23:22:56Z,34.90226,R+35,Trump +35,republican,trumpd,34.90226,3588,32.2,3769,20.35,georgia,2021-05-04T17:41:56.389976Z
13255,Spalding,30219,21274,18,18,None,100,30219,100%,100% reported,edison,10,unknown,,23630,,,11828,18104,279,8,8858,12286,130,0,2021-03-07T03:08:57Z,20.76839,R+21,Trump +21,republican,trumpd,20.76839,25826,24.4,25088,19.98,georgia,2021-05-04T17:41:56.389976Z
13257,Stephens,11885,10323,1,1,Released as a separate subtotal as first report of the night,100,11885,100%,100% reported,edison,10,all,,9197,,,2386,9367,132,0,2094,8130,99,0,2020-12-04T23:47:51Z,58.7379,R+59,Trump +59,republican,trumpd,58.7379,9815,59.6,9498,53.59,georgia,2021-05-04T17:41:56.389976Z
13259,Stewart,1990,1455,4,4,None,100,1990,100%,100% reported,edison,10,unknown,,1402,,,1182,801,7,0,883,567,5,0,2021-03-06T23:23:07Z,19.14573,D+19,Biden +19,democrat,bidenj,-19.14573,2058,-20.3,2076,-27.84,georgia,2021-05-04T17:41:56.389976Z
13261,Sumter,12150,9442,11,11,Merged into voters' home precincts and released with cumulative results,100,12150,100%,100% reported,edison,10,all,,10757,,,6314,5733,101,2,5173,4195,74,0,2021-01-13T16:51:28Z,4.78189,D+5,Biden +5,democrat,bidenj,-4.78189,11047,-2.2,11831,-8.43,georgia,2021-05-04T17:41:56.389976Z
13263,Talbot,3524,2507,7,7,Merged into voters' home precincts and released with cumulative results,100,3524,100%,100% reported,edison,10,unknown,,2304,,,2114,1392,16,2,1573,927,7,0,2021-01-13T14:30:23Z,20.48808,D+20,Biden +20,democrat,bidenj,-20.48808,3261,-24.7,3491,-30.45,georgia,2021-05-04T17:41:56.389976Z
13265,Taliaferro,928,727,2,2,None,100,928,100%,100% reported,edison,10,unknown,,946,,,561,360,7,0,460,264,3,0,2020-12-04T23:49:46Z,21.65948,D+22,Biden +22,democrat,bidenj,-21.65948,897,-21.9,963,-32.5,georgia,2021-05-04T17:41:56.389976Z
